pt_graph landings
803 77
804 77
805 77
806 77
807 77
808 77
841 77
842 77
843 77
844 77
845 77
846 77
847 77
848 77
886 77
887 77
888 77
889 77
890 77
891 77
892 77
893 77
894 77
936 77
937 77
938 77
939 77
940 77
941 77
942 77
943 77
944 77
945 77
946 77
948 77
987 77
988 77
989 77
990 77
991 77
992 77
993 77
994 77
995 77
996 77
997 77
998 77
999 77
1000 77
1040 77
1041 77
1042 77
1043 77
1044 77
1045 77
1046 77
1047 77
1048 77
1049 77
1050 77
1051 77
1097 77
1098 77
1099 77
1100 77
1101 77
1102 77
1103 77
1104 77
1105 77
1106 77
1107 77
1159 77
1160 77
1161 77
1162 77
1163 77
1164 77
1165 77
1166 77
1167 77
1168 77
1169 77
1223 77
1224 77
1225 77
1226 77
1227 77
1228 77
1229 77
1230 77
1289 77
1290 77
1291 77
1292 77
1293 77
1294 77
1295 77
1296 77
1297 77
1356 77
1357 77
1358 77
1359 77
1360 77
1361 77
1362 77
1363 77
1364 77
1365 77
1421 77
1422 77
1423 77
1424 77
1425 77
1426 77
1427 77
1428 77
1429 77
1430 77
1431 77
1447 77
1448 77
1449 77
1450 77
1451 77
1486 77
1487 77
1488 77
1489 77
1490 77
1491 77
1492 77
1493 77
1494 77
1495 77
1496 77
1497 77
1498 77
1499 77
1513 77
1514 77
1515 77
1516 77
1517 77
1518 77
1519 77
1555 77
1556 77
1557 77
1558 77
1559 77
1560 77
1561 77
1562 77
1563 77
1564 77
1565 77
1566 77
1567 77
1568 77
1569 77
1570 77
1582 77
1583 77
1584 77
1585 77
1586 77
1587 77
1588 77
1589 77
1590 77
1591 77
1592 77
1625 77
1626 77
1627 77
1628 77
1629 77
1630 77
1631 77
1632 77
1633 77
1634 77
1635 77
1636 77
1637 77
1638 77
1639 77
1640 77
1651 77
1652 77
1653 77
1654 77
1655 77
1656 77
1657 77
1658 77
1659 77
1660 77
1661 77
1662 77
1663 77
1691 77
1695 77
1696 77
1697 77
1698 77
1699 77
1700 77
1701 77
1702 77
1703 77
1704 77
1705 77
1706 77
1707 77
1708 77
1709 77
1710 77
1721 77
1722 77
1723 77
1724 77
1725 77
1726 77
1727 77
1728 77
1729 77
1730 77
1731 77
1732 77
1733 77
1734 77
1735 77
1763 77
1764 77
1765 77
1768 77
1769 77
1770 77
1771 77
1772 77
1773 77
1774 77
1775 77
1776 77
1777 77
1778 77
1779 77
1780 77
1781 77
1782 77
1792 77
1793 77
1794 77
1795 77
1796 77
1797 77
1798 77
1799 77
1800 77
1801 77
1802 77
1803 77
1804 77
1805 77
1806 77
1807 77
1808 77
1838 77
1839 77
1840 77
1844 77
1845 77
1846 77
1847 77
1848 77
1849 77
1850 77
1851 77
1852 77
1853 77
1854 77
1855 77
1867 77
1868 77
1869 77
1870 77
1871 77
1872 77
1873 77
1874 77
1875 77
1876 77
1877 77
1878 77
1879 77
1880 77
1881 77
1882 77
1883 77
1884 77
1920 77
1921 77
1926 77
1927 77
1928 77
1929 77
1930 77
1931 77
1932 77
1933 77
1934 77
1935 77
1936 77
1937 77
1938 77
1939 77
1948 77
1949 77
1950 77
1951 77
1952 77
1953 77
1954 77
1955 77
1956 77
1957 77
1958 77
1959 77
1960 77
1961 77
1962 77
1963 77
1964 77
1965 77
1966 77
2009 77
2010 77
2011 77
2012 77
2013 77
2014 77
2015 77
2016 77
2017 77
2018 77
2019 77
2020 77
2021 77
2022 77
2031 77
2032 77
2033 77
2034 77
2035 77
2036 77
2037 77
2038 77
2039 77
2040 77
2041 77
2042 77
2043 77
2044 77
2045 77
2046 77
2047 77
2048 77
2092 77
2093 77
2094 77
2095 77
2096 77
2097 77
2098 77
2099 77
2100 77
2101 77
2102 77
2103 77
2104 77
2105 77
2106 77
2107 77
2114 77
2115 77
2116 77
2117 77
2118 77
2119 77
2120 77
2121 77
2122 77
2123 77
2124 77
2125 77
2126 77
2127 77
2128 77
2129 77
2130 77
2131 77
2132 77
2176 77
2177 77
2178 77
2179 77
2180 77
2181 77
2182 77
2183 77
2184 77
2185 77
2186 77
2187 77
2188 77
2189 77
2190 77
2191 77
2192 77
2198 77
2199 77
2200 77
2201 77
2202 77
2203 77
2204 77
2205 77
2206 77
2207 77
2208 77
2209 77
2210 77
