stock  init_M_per_szgroup
0 0.7264
0 0.3508
0 0.2283
0 0.169
0 0.1341
0 0.1111
0 0.0949
0 0.0828
0 0.0734
0 0.0659
0 0.0598
0 0.0548
0 0.0505
0 0.0469
1 0.7264
1 0.3508
1 0.2283
1 0.169
1 0.1341
1 0.1111
1 0.0949
1 0.0828
1 0.0734
1 0.0659
1 0.0598
1 0.0548
1 0.0505
1 0.0469
2 0.7264
2 0.3508
2 0.2283
2 0.169
2 0.1341
2 0.1111
2 0.0949
2 0.0828
2 0.0734
2 0.0659
2 0.0598
2 0.0548
2 0.0505
2 0.0469
3 0.7264
3 0.3508
3 0.2283
3 0.169
3 0.1341
3 0.1111
3 0.0949
3 0.0828
3 0.0734
3 0.0659
3 0.0598
3 0.0548
3 0.0505
3 0.0469
4 0.7264
4 0.3508
4 0.2283
4 0.169
4 0.1341
4 0.1111
4 0.0949
4 0.0828
4 0.0734
4 0.0659
4 0.0598
4 0.0548
4 0.0505
4 0.0469
5 0.7264
5 0.3508
5 0.2283
5 0.169
5 0.1341
5 0.1111
5 0.0949
5 0.0828
5 0.0734
5 0.0659
5 0.0598
5 0.0548
5 0.0505
5 0.0469
6 0.7264
6 0.3508
6 0.2283
6 0.169
6 0.1341
6 0.1111
6 0.0949
6 0.0828
6 0.0734
6 0.0659
6 0.0598
6 0.0548
6 0.0505
6 0.0469
7 0.7264
7 0.3508
7 0.2283
7 0.169
7 0.1341
7 0.1111
7 0.0949
7 0.0828
7 0.0734
7 0.0659
7 0.0598
7 0.0548
7 0.0505
7 0.0469
8 0.7264
8 0.3508
8 0.2283
8 0.169
8 0.1341
8 0.1111
8 0.0949
8 0.0828
8 0.0734
8 0.0659
8 0.0598
8 0.0548
8 0.0505
8 0.0469
9 0.7264
9 0.3508
9 0.2283
9 0.169
9 0.1341
9 0.1111
9 0.0949
9 0.0828
9 0.0734
9 0.0659
9 0.0598
9 0.0548
9 0.0505
9 0.0469
10 0.7264
10 0.3508
10 0.2283
10 0.169
10 0.1341
10 0.1111
10 0.0949
10 0.0828
10 0.0734
10 0.0659
10 0.0598
10 0.0548
10 0.0505
10 0.0469
11 0.7264
11 0.3508
11 0.2283
11 0.169
11 0.1341
11 0.1111
11 0.0949
11 0.0828
11 0.0734
11 0.0659
11 0.0598
11 0.0548
11 0.0505
11 0.0469
12 0.7264
12 0.3508
12 0.2283
12 0.169
12 0.1341
12 0.1111
12 0.0949
12 0.0828
12 0.0734
12 0.0659
12 0.0598
12 0.0548
12 0.0505
12 0.0469
13 0.7264
13 0.3508
13 0.2283
13 0.169
13 0.1341
13 0.1111
13 0.0949
13 0.0828
13 0.0734
13 0.0659
13 0.0598
13 0.0548
13 0.0505
13 0.0469
14 0.7264
14 0.3508
14 0.2283
14 0.169
14 0.1341
14 0.1111
14 0.0949
14 0.0828
14 0.0734
14 0.0659
14 0.0598
14 0.0548
14 0.0505
14 0.0469
