pt_graph abundance
0 0.00000482
0 0.00000482
0 0
0 1
1 0.00000482
1 0.00000482
1 0
1 0
2 0.00000482
2 0.00000482
2 0
2 0
3 0.00000482
3 0.00000482
3 0
3 0
4 0.00000482
4 0.00000482
4 0
4 0
5 0.00000482
5 0.00000482
5 0
5 0
6 0.00000482
6 0.00000482
6 0
6 0
7 0.00000482
7 0.00000482
7 0
7 0
8 0.00000482
8 0.00000482
8 0
8 0
9 0.00000482
9 0.00000482
9 0
9 0
10 0.00000482
10 0.00000482
10 0
10 0
11 0.00000482
11 0.00000482
11 0
11 0
12 0.00000482
12 0.00000482
12 0
12 0
13 0.00000482
13 0.00000482
13 0
13 0
14 0.00000482
14 0.00000482
14 0
14 0
15 0.00000482
15 0.00000482
15 0
15 0
16 0.00000482
16 0.00000482
16 0
16 0
17 0.00000482
17 0.00000482
17 0
17 0
18 0.00000482
18 0.00000482
18 0
18 0
19 0.00000482
19 0.00000482
19 0
19 0
20 0.00004093
20 0.00004093
20 0
20 0
21 0.00004093
21 0.00004093
21 0
21 0
22 0.00000482
22 0.00000482
22 0
22 0
23 0.00000482
23 0.00000482
23 0
23 0
24 0.00000482
24 0.00000482
24 0
24 0
25 0.00000482
25 0.00000482
25 0
25 0
26 0.00000482
26 0.00000482
26 0
26 0
27 0.00000482
27 0.00000482
27 0
27 0
28 0.00000482
28 0.00000482
28 0
28 0
29 0.00000482
29 0.00000482
29 0
29 0
30 0.00000482
30 0.00000482
30 0
30 0
31 0.00004093
31 0.00004093
31 0
31 0
32 0.00004093
32 0.00004093
32 0
32 0
33 0.00004093
33 0.00004093
33 0
33 0
34 0.00000482
34 0.00000482
34 0
34 0
35 0.00000482
35 0.00000482
35 0
35 0
36 0.00000482
36 0.00000482
36 0
36 0
37 0.00000482
37 0.00000482
37 0
37 0
38 0.00000482
38 0.00000482
38 0
38 0
39 0.00000482
39 0.00000482
39 0
39 0
40 0.00000482
40 0.00000482
40 0
40 0
41 0.00000482
41 0.00000482
41 0
41 0
42 0.00000482
42 0.00000482
42 0
42 0
43 0.00004093
43 0.00004093
43 0
43 0
44 0.00004093
44 0.00004093
44 0
44 0
45 0.00004093
45 0.00004093
45 0
45 0
46 0.00004093
46 0.00004093
46 0
46 0
47 0.00000482
47 0.00000482
47 0
47 0
48 0.00000482
48 0.00000482
48 0
48 0
49 0.00000482
49 0.00000482
49 0
49 0
50 0.00000482
50 0.00000482
50 0
50 0
51 0.00000482
51 0.00000482
51 0
51 0
52 0.00000482
52 0.00000482
52 0
52 0
53 0.00000482
53 0.00000482
53 0
53 0
54 0.00000482
54 0.00000482
54 0
54 0
55 0.00000482
55 0.00000482
55 0
55 0
56 0.00000482
56 0.00000482
56 0
56 0
59 0.00004093
59 0.00004093
59 0
59 0
60 0.00004093
60 0.00004093
60 0
60 0
61 0.00004093
61 0.00004093
61 0
61 0
62 0.00004093
62 0.00004093
62 0
62 0
63 0.00004093
63 0.00004093
63 0
63 0
64 0.00004093
64 0.00004093
64 0
64 0
65 0.00004093
65 0.00004093
65 0
65 0
66 0.00000482
66 0.00000482
66 0
66 0
67 0.00000482
67 0.00000482
67 0
67 0
68 0.00000482
68 0.00000482
68 0
68 0
69 0.00000482
69 0.00000482
69 0
69 0
70 0.00000482
70 0.00000482
70 0
70 0
71 0.00000482
71 0.00000482
71 0
71 0
72 0.00000482
72 0.00000482
72 0
72 0
73 0.00000482
73 0.00000482
73 0
73 0
74 0.00000482
74 0.00000482
74 0
74 0
75 0.00000482
75 0.00000482
75 0
75 0
76 0.00000482
76 0.00000482
76 0
76 0
80 0.00004093
80 0.00004093
80 0
80 0
81 0.00004093
81 0.00004093
81 0
81 0
82 0.00004093
82 0.00004093
82 0
82 0
83 0.00004093
83 0.00004093
83 0
83 0
84 0.00004093
84 0.00004093
84 0
84 0
85 0.00004093
85 0.00004093
85 0
85 0
86 0.00004093
86 0.00004093
86 0
86 0
87 0.00004093
87 0.00004093
87 0
87 0
88 0.00004093
88 0.00004093
88 0
88 0
89 0.00004093
89 0.00004093
89 0
89 0
90 0.00000482
90 0.00000482
90 0
90 0
91 0.00000482
91 0.00000482
91 0
91 0
92 0.00000482
92 0.00000482
92 0
92 0
93 0.00000482
93 0.00000482
93 0
93 0
94 0.00000482
94 0.00000482
94 0
94 0
95 0.00000482
95 0.00000482
95 0
95 0
96 0.00000482
96 0.00000482
96 0
96 0
97 0.00000482
97 0.00000482
97 0
97 0
98 0.00000482
98 0.00000482
98 0
98 0
99 0.00000482
99 0.00000482
99 0
99 0
100 0.00000482
100 0.00000482
100 0
100 0
101 0.00000482
101 0.00000482
101 0
101 0
102 0.00000482
102 0.00000482
102 0
102 0
103 0.00004093
103 0.00004093
103 0
103 0
104 0.00004093
104 0.00004093
104 0
104 0
105 0.00004093
105 0.00004093
105 0
105 0
106 0.00004093
106 0.00004093
106 0
106 0
107 0.00004093
107 0.00004093
107 0
107 0
108 0.00004093
108 0.00004093
108 0
108 0
109 0.00004093
109 0.00004093
109 0
109 0
110 0.00004093
110 0.00004093
110 0
110 0
111 0.00004093
111 0.00004093
111 0
111 0
112 0.00004093
112 0.00004093
112 0
112 0
113 0.00000482
113 0.00000482
113 0
113 0
114 0.00000482
114 0.00000482
114 0
114 0
115 0.00000482
115 0.00000482
115 0
115 0
116 0.00000482
116 0.00000482
116 0
116 0
117 0.00000482
117 0.00000482
117 0
117 0
118 0.00000482
118 0.00000482
118 0
118 0
119 0.00000482
119 0.00000482
119 0
119 0
120 0.00000482
120 0.00000482
120 0
120 0
121 0.00000482
121 0.00000482
121 0
121 0
122 0.00000482
122 0.00000482
122 0
122 0
123 0.00000482
123 0.00000482
123 0
123 0
124 0.00004093
124 0.00004093
124 0
124 0
125 0.00004093
125 0.00004093
125 0
125 0
126 0.00004093
126 0.00004093
126 0
126 0
127 0.00004093
127 0.00004093
127 0
127 0
128 0.00004093
128 0.00004093
128 0
128 0
129 0.00004093
129 0.00004093
129 0
129 0
130 0.00004093
130 0.00004093
130 0
130 0
131 0.00004093
131 0.00004093
131 0
131 0
132 0.00004093
132 0.00004093
132 0
132 0
133 0.00000482
133 0.00000482
133 0
133 0
134 0.00000482
134 0.00000482
134 0
134 0
135 0.00000482
135 0.00000482
135 0
135 0
136 0.00000482
136 0.00000482
136 0
136 0
137 0.00000482
137 0.00000482
137 0
137 0
138 0.00000482
138 0.00000482
138 0
138 0
139 0.00000482
139 0.00000482
139 0
139 0
140 0.00000482
140 0.00000482
140 0
140 0
141 0.00000482
141 0.00000482
141 0
141 0
142 0.00000482
142 0.00000482
142 0
142 0
143 0.00000482
143 0.00000482
143 0
143 0
144 0.00000482
144 0.00000482
144 0
144 0
145 0.00000482
145 0.00000482
145 0
145 0
146 0.00004093
146 0.00004093
146 0
146 0
147 0.00004093
147 0.00004093
147 0
147 0
148 0.00004093
148 0.00004093
148 0
148 0
149 0.00004093
149 0.00004093
149 0
149 0
150 0.00004093
150 0.00004093
150 0
150 0
151 0.00004093
151 0.00004093
151 0
151 0
152 0.00004093
152 0.00004093
152 0
152 0
153 0.00004093
153 0.00004093
153 0
153 0
154 0.00000482
154 0.00000482
154 0
154 0
155 0.00000482
155 0.00000482
155 0
155 0
156 0.00000482
156 0.00000482
156 0
156 0
157 0.00000482
157 0.00000482
157 0
157 0
158 0.00000482
158 0.00000482
158 0
158 0
159 0.00000482
159 0.00000482
159 0
159 0
160 0.00000482
160 0.00000482
160 0
160 0
161 0.00000482
161 0.00000482
161 0
161 0
162 0.00000482
162 0.00000482
162 0
162 0
163 0.00000482
163 0.00000482
163 0
163 0
164 0.00000482
164 0.00000482
164 0
164 0
165 0.00000482
165 0.00000482
165 0
165 0
166 0.00000482
166 0.00000482
166 0
166 0
167 0.00004093
167 0.00004093
167 0
167 0
168 0.00004093
168 0.00004093
168 0
168 0
169 0.00004093
169 0.00004093
169 0
169 0
