pt_graph avai
1 0.00004603
1 0.00004603
1 0.00000851
1 0.00007335
1 0.0000293
1 0.0000671
1 0.00005308
1 0.00003184
1 0.00006845
1 0.00014132
1 0.00008154
1 0.00007705
1 0.00005425
1 0.00005897
2 0.00004813
2 0.00004813
2 0.00000939
2 0.00006809
2 0.00003175
2 0.00007463
2 0.00005748
2 0.00003878
2 0.00007261
2 0.00014482
2 0.00007267
2 0.00007158
2 0.00006463
2 0.00005714
3 0.00005255
3 0.00005255
3 0.00001014
3 0.00006469
3 0.00004142
3 0.00007723
3 0.00005715
3 0.00003745
3 0.00007941
3 0.00014373
3 0.0000742
3 0.00007036
3 0.00008194
3 0.00005321
4 0.00005448
4 0.00005448
4 0.00001556
4 0.00005815
4 0.00005055
4 0.00008335
4 0.0000535
4 0.00004066
4 0.00008271
4 0.00013467
4 0.00006748
4 0.0000604
4 0.00008917
4 0.00005159
5 0.00005391
5 0.00005391
5 0.00002565
5 0.00004849
5 0.00005914
5 0.00009298
5 0.00004653
5 0.00004841
5 0.00008251
5 0.00011765
5 0.00005252
5 0.00004172
5 0.00008632
5 0.00005227
6 0.0000506
6 0.0000506
6 0.00002982
6 0.00004205
6 0.00006071
6 0.00009641
6 0.00004485
6 0.0000518
6 0.00008326
6 0.00011142
6 0.00004944
6 0.00003264
6 0.00008317
6 0.00005495
7 0.00004456
7 0.00004456
7 0.00002807
7 0.00003883
7 0.00005527
7 0.00009362
7 0.00004845
7 0.00005085
7 0.00008498
7 0.000116
7 0.00005826
7 0.00003316
7 0.00007971
7 0.00005962
8 0.00004243
8 0.00004243
8 0.00002986
8 0.00004354
8 0.00005052
8 0.00008957
8 0.00005129
8 0.00005444
8 0.00008683
8 0.00012105
8 0.00006638
8 0.00004144
8 0.00007408
8 0.00006273
9 0.00004421
9 0.00004421
9 0.00003518
9 0.00005617
9 0.00004647
9 0.00008426
9 0.00005337
9 0.00006257
9 0.00008882
9 0.00012656
9 0.00007382
9 0.00005745
9 0.00006627
9 0.00006426
10 0.00004983
10 0.00004983
10 0.00001542
10 0.00006361
10 0.00004643
10 0.00007703
10 0.00005138
10 0.00003949
10 0.0000804
10 0.00014927
10 0.00006847
10 0.00006864
10 0.00008036
10 0.00005153
11 0.00005124
11 0.00005124
11 0.00001969
11 0.00005789
11 0.00005385
11 0.00008151
11 0.00004709
11 0.00004153
11 0.00008441
11 0.00014004
11 0.00006125
11 0.00006023
11 0.00008285
11 0.00004933
12 0.00005145
12 0.00005145
12 0.00002397
12 0.00005055
12 0.00005568
12 0.00008801
12 0.0000427
