pt_graph shape
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
399 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
551 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
555 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
620 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
650 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
765 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
811 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
852 1
