pt_graph met
2043 14
2043 16
2045 14
2120 16
2293 14
2441 16
2519 16
2521 14
2602 14
2768 16
2769 14
2769 16
2775 14
2775 16
2776 14
2847 14
2849 14
2926 16
2991 14
2998 16
3000 14
3071 16
3072 14
3078 14
3085 14
3085 16
3144 14
3144 16
3214 16
3222 14
3307 16
3387 14
3397 16
3402 16
3468 14
3469 16
3470 14
3552 14
3558 14
3558 16
3567 16
3625 16
3629 16
3635 16
3717 14
3718 14
3718 16
3721 16
3729 14
3796 14
3804 14
3804 16
3886 16
3896 14
3896 16
3900 14
3991 14
4007 14
4083 14
4099 16
4153 16
4157 14
4178 16
4183 14
4186 14
4236 16
4248 16
4272 16
4338 14
4348 14
4360 16
4417 16
4424 14
4453 16
4510 14
4533 16
4544 14
4602 16
4635 16
4693 16
4698 14
4727 14
4782 14
4789 14
4789 16
4790 14
4791 16
4794 14
4799 16
4820 16
4890 14
4890 16
4910 14
4914 14
4968 16
4980 14
4980 16
4981 14
4984 16
4999 16
5066 16
5067 14
5069 14
5070 16
5089 14
5089 16
5141 14
5146 16
5148 16
5153 16
5157 16
5163 16
5164 14
5173 14
5177 14
5179 14
5181 16
5247 14
5254 14
5270 14
5271 14
5335 14
5335 16
5337 14
5355 14
5355 16
5359 14
5403 16
5407 16
5419 14
5419 16
5423 16
5426 14
5426 16
5427 14
5427 16
5429 16
5430 14
5430 16
5431 16
5442 14
5498 16
5502 14
5505 14
5507 14
5507 16
5508 16
5511 14
5516 14
5516 16
5517 14
5517 16
5518 14
5518 16
5527 16
5533 16
5534 16
5574 14
5591 16
5594 14
5600 14
5600 16
5601 14
5601 16
5603 16
5605 14
5605 16
5606 14
5610 14
5612 14
5614 14
5614 16
5615 14
5615 16
5618 14
5618 16
5620 14
5662 16
5672 14
5675 14
5675 16
5676 14
5676 16
5677 14
5677 16
5687 14
5688 14
5688 16
5689 14
5689 16
5690 14
5692 14
5692 16
5693 14
5694 14
5694 16
5701 14
5701 16
5702 14
5702 16
5704 14
5704 16
5761 14
5766 16
5777 16
5781 14
5783 14
5784 14
5784 16
5791 16
5792 14
5792 16
5793 14
5793 16
5795 16
5796 14
5796 16
5843 16
5850 14
5850 16
5851 14
5851 16
5871 14
5871 16
5873 16
5878 14
5878 16
5879 16
5883 16
5885 14
5885 16
5939 14
5946 14
5946 16
5960 16
5968 14
5968 16
5969 14
5969 16
5971 14
5972 14
5975 14
5975 16
5976 14
5976 16
5978 14
5978 16
5982 16
5984 14
5984 16
6038 14
6047 14
6047 16
6048 14
6051 14
6064 14
6071 14
6073 14
6073 16
6074 14
6074 16
6076 14
6077 14
6079 14
6079 16
6080 14
6080 16
6081 14
6081 16
6142 14
6142 16
6148 16
6149 14
6149 16
6173 14
6173 16
6174 14
6174 16
6175 14
6175 16
6178 14
6178 16
6179 14
6179 16
6180 16
6184 14
6244 14
6244 16
6247 16
6248 16
6250 16
6257 16
6259 16
6267 16
6268 14
6268 16
6269 14
6270 14
6271 14
6271 16
6272 14
6273 14
6273 16
6274 14
6274 16
6336 14
6341 14
6357 14
6358 14
6360 14
6360 16
6361 14
6361 16
6362 16
6363 14
6363 16
6364 16
6425 14
6425 16
6429 14
6433 14
6435 16
6441 14
6448 16
6450 16
6451 14
6451 16
6452 14
6452 16
6453 14
6453 16
6457 16
6519 14
6538 14
6538 16
6539 16
6540 14
6541 16
6622 14
6622 16
6682 14
6703 14
6775 14
6846 16
6910 16
6917 14
6917 16
6920 16
6979 16
6985 14
6985 16
6987 16
6988 16
7049 14
7052 14
7052 16
7053 16
7057 14
7057 16
7122 14
7122 16
7123 14
7125 14
7126 14
7127 16
7128 16
7197 16
7200 14
7200 16
7269 14
7269 16
7334 16
7335 16
9794 16
9847 16
10924 16
