pt_graph freq
1453 0.07575926
1595 0.07575926
1666 0.92424070
1729 0.92424070
1872 0.07575926
1876 0.07575926
1947 0.07575926
1952 0.92424070
2025 0.07575926
2030 0.07575926
2043 0.07575926
2043 0.92424070
2108 0.92424070
2125 0.07575926
2197 0.92424070
2280 0.92424070
2281 0.92424070
2296 0.07575926
2357 0.07575926
2445 0.92424070
2509 0.92424070
2517 0.07575926
2595 0.07575926
2607 0.07575926
2608 0.07575926
2608 0.92424070
2677 0.07575926
2682 0.07575926
2755 0.92424070
2757 0.07575926
2759 0.07575926
2763 0.07575926
2775 0.07575926
2775 0.92424070
2836 0.07575926
2844 0.07575926
2849 0.92424070
2850 0.07575926
2919 0.92424070
2923 0.07575926
2932 0.07575926
2938 0.07575926
2998 0.07575926
2999 0.07575926
3000 0.07575926
3000 0.92424070
3075 0.07575926
3082 0.07575926
3085 0.07575926
3085 0.92424070
3086 0.07575926
3142 0.07575926
3144 0.07575926
3144 0.92424070
3145 0.07575926
3146 0.92424070
3155 0.92424070
3221 0.92424070
3224 0.07575926
3230 0.92424070
3232 0.07575926
3232 0.92424070
3299 0.92424070
3303 0.92424070
3308 0.92424070
3311 0.07575926
3317 0.92424070
3388 0.92424070
3390 0.07575926
3466 0.92424070
3470 0.07575926
3545 0.92424070
3552 0.07575926
3553 0.92424070
3635 0.07575926
3635 0.92424070
3642 0.92424070
3647 0.07575926
3649 0.07575926
3717 0.07575926
3718 0.07575926
3718 0.92424070
3719 0.07575926
3720 0.07575926
3732 0.92424070
3804 0.07575926
3804 0.92424070
3806 0.07575926
3807 0.92424070
3896 0.07575926
3896 0.92424070
3985 0.92424070
4006 0.92424070
4007 0.92424070
4084 0.92424070
4087 0.92424070
4155 0.92424070
4164 0.92424070
4172 0.07575926
4240 0.92424070
4249 0.92424070
4272 0.92424070
4320 0.92424070
4413 0.07575926
4414 0.07575926
4452 0.07575926
4510 0.07575926
4529 0.92424070
4531 0.92424070
4544 0.07575926
4544 0.92424070
4597 0.92424070
4635 0.92424070
4638 0.92424070
4701 0.92424070
4716 0.92424070
4727 0.07575926
4728 0.07575926
4728 0.92424070
4730 0.92424070
4788 0.07575926
4820 0.92424070
4868 0.92424070
4883 0.07575926
4884 0.92424070
4890 0.07575926
4890 0.92424070
4891 0.92424070
4911 0.07575926
4914 0.92424070
4957 0.92424070
4974 0.92424070
4976 0.92424070
4980 0.07575926
4980 0.92424070
4981 0.07575926
