pt_graph met
3 18
5 18
6 18
8 18
12 18
14 18
15 18
42 18
49 18
55 18
56 18
63 18
75 18
76 18
89 18
98 18
100 18
109 18
121 18
130 18
152 18
173 18
192 18
214 18
233 18
254 18
295 18
320 18
354 18
407 18
472 18
754 18
1412 19
1613 19
1693 19
1834 19
1915 19
1996 19
2486 19
2487 19
2566 19
2649 19
2650 19
2652 19
2732 19
2734 19
2735 19
2775 19
2816 19
2819 19
2834 19
2890 19
2899 19
2938 19
2965 19
2966 19
3043 19
3083 19
3084 19
3085 19
3086 19
3157 19
3319 19
4711 19
4716 19
4805 19
4887 19
4890 19
4894 19
4981 19
5074 19
5430 19
9794 19
10231 18
10623 18
10944 19
