pt_graph freq
2547 1
2548 1
2549 1
2633 1
2716 1
2798 1
2954 1
3024 1
3581 1
3583 1
3664 1
3750 1
3756 1
3838 1
3841 1
3842 1
3869 1
3931 1
3932 1
3933 1
4019 1
4189 1
4211 1
4300 1
4371 1
4387 1
4390 1
4391 1
4660 1
4663 1
4840 1
4940 1
5120 1
5194 1
5283 1
5372 1
5377 1
5558 1
5633 1
5636 1
5716 1
5717 1
5719 1
5722 1
5727 1
5807 1
5808 1
5810 1
5813 1
5815 1
5818 1
5819 1
5823 1
5894 1
5905 1
5911 1
5912 1
5913 1
5914 1
5915 1
5993 1
5997 1
5998 1
6005 1
6015 1
6025 1
6097 1
6098 1
6099 1
6100 1
6194 1
6195 1
6196 1
6228 1
6288 1
6289 1
6310 1
6314 1
6315 1
6387 1
6402 1
6405 1
6488 1
6494 1
6559 1
6567 1
6573 1
6640 1
6652 1
6654 1
6660 1
6730 1
6744 1
6789 1
6796 1
6802 1
6803 1
6862 1
6871 1
6872 1
6873 1
6874 1
6875 1
6877 1
6880 1
6930 1
6931 1
6932 1
6944 1
6957 1
7001 1
7002 1
7011 1
7015 1
7073 1
7081 1
7087 1
7098 1
7144 1
7145 1
7284 1
7292 1
7294 1
7351 1
7357 1
7359 1
7367 1
7368 1
7374 1
7418 1
7419 1
7421 1
7428 1
7429 1
7466 1
7529 1
7536 1
7539 1
7585 1
7649 1
7698 1
7739 1
7762 1
7767 1
7813 1
7854 1
7910 1
7911 1
7936 1
7938 1
7967 1
7980 1
7994 1
8032 1
8035 1
8046 1
8094 1
8102 1
8153 1
8158 1
8189 1
8190 1
8192 1
8213 1
8243 1
8247 1
8263 1
8301 1
8302 1
8353 1
8404 1
8459 1
8460 1
10060 1
10108 1
10166 1
10211 1
10424 1
10452 1
10703 1
10704 1
10967 1
