pt_graph freq
16 0.75
19 0.75
39 0.75
40 0.75
48 0.75
54 0.75
55 0.75
57 0.75
66 0.75
67 0.75
71 0.75
73 0.75
74 0.75
75 0.75
76 0.75
77 0.75
87 0.75
90 0.75
98 0.75
99 0.75
100 0.75
111 0.75
112 0.75
120 0.75
122 0.75
133 0.75
143 0.75
145 0.75
151 0.25
161 0.75
174 0.75
208 0.75
221 0.75
224 0.75
226 0.75
227 0.75
237 0.75
242 0.75
261 0.75
266 0.75
314 0.75
341 0.75
354 0.75
357 0.75
391 0.75
397 0.75
402 0.75
434 0.75
459 0.75
465 0.75
484 0.75
485 0.75
508 0.75
510 0.75
511 0.75
526 0.75
531 0.75
538 0.75
544 0.75
548 0.75
555 0.75
556 0.75
567 0.75
571 0.75
581 0.75
585 0.75
607 0.75
619 0.75
620 0.75
621 0.75
622 0.75
643 0.75
657 0.75
658 0.75
660 0.75
661 0.75
681 0.75
683 0.75
690 0.75
694 0.75
698 0.75
719 0.75
753 0.75
756 0.75
768 0.75
773 0.75
801 0.75
811 0.75
827 0.75
851 0.75
852 0.75
853 0.75
854 0.75
881 0.75
882 0.75
886 0.75
899 0.75
900 0.75
901 0.75
902 0.75
903 0.75
904 0.75
933 0.75
936 0.75
952 0.75
956 0.75
957 0.75
1009 0.75
1035 0.75
1092 0.75
1094 0.75
1158 0.75
1266 0.25
1288 0.75
1344 0.75
1345 0.75
1346 0.75
1431 0.75
1475 0.75
1559 0.75
9642 0.25
10237 0.75
10480 0.75
10486 0.75
10488 0.75
10769 0.75
