pt_graph met
3 18
4 18
5 18
6 18
12 18
14 18
15 18
23 18
38 18
42 18
42 28
48 28
51 28
54 28
55 18
55 28
56 18
56 28
57 28
63 18
67 28
71 28
74 28
75 18
75 28
76 18
76 28
77 28
90 28
98 18
98 28
110 28
112 28
118 28
120 28
122 28
130 18
140 28
143 28
152 18
154 18
154 28
164 28
173 18
183 28
192 18
208 28
228 28
231 28
237 28
241 28
286 28
289 28
302 28
304 28
311 18
314 18
314 28
316 28
354 28
363 28
369 28
370 28
380 28
387 28
418 28
438 28
450 28
459 28
463 28
474 18
488 28
496 18
508 28
510 28
519 18
522 18
526 28
538 28
540 28
555 28
567 28
571 28
572 28
579 28
585 28
604 28
605 28
607 28
616 28
619 28
620 28
621 28
622 28
640 28
643 28
655 18
657 28
658 28
660 28
661 28
681 28
688 18
694 18
694 28
698 28
725 18
753 18
756 28
773 28
791 28
803 18
811 28
812 28
830 28
835 18
849 28
852 28
881 28
882 28
885 18
888 28
933 28
939 18
982 28
987 18
988 18
989 18
993 18
994 18
995 18
996 18
997 28
1041 18
1046 18
1047 18
1048 18
1099 28
1158 18
10237 28
10387 18
10486 28
10490 28
10789 18
