pt_graph met
2109 13
2199 13
2210 13
2508 13
2607 13
2675 13
2756 13
2760 13
2767 13
2768 13
2775 13
2834 13
2849 13
2850 13
2852 13
2924 13
2926 13
2986 13
2998 13
3000 13
3072 13
3081 13
3145 13
3217 13
3387 13
3389 13
3391 13
3404 13
3459 13
3470 13
3484 13
3555 13
3628 13
3635 13
3710 13
3717 13
3718 13
3796 13
3804 13
3806 13
3818 13
3883 13
3896 13
3900 13
3913 13
3979 13
4062 13
4071 13
4149 13
4151 13
4152 13
4156 13
4161 13
4162 13
4239 13
4243 13
4245 13
4250 13
4341 13
4424 13
4502 13
4544 13
4592 13
4631 13
4635 13
4639 13
4687 13
4727 13
4731 13
4732 13
4787 13
4884 13
4890 13
4911 13
4968 13
4980 13
4981 13
5055 13
5089 13
5156 13
5179 13
5181 13
5267 13
5321 13
5356 13
5358 13
5418 13
5419 13
5426 13
5427 13
5428 13
5430 13
5437 13
5443 13
5499 13
5507 13
5510 13
5513 13
5516 13
5517 13
5518 13
5527 13
5534 13
5571 13
5591 13
5592 13
5600 13
5601 13
5602 13
5605 13
5615 13
5618 13
5675 13
5676 13
5688 13
5689 13
5690 13
5694 13
5701 13
5702 13
5704 13
5707 13
5761 13
5777 13
5784 13
5792 13
5793 13
5795 13
5796 13
5846 13
5849 13
5850 13
5851 13
5856 13
5871 13
5878 13
5879 13
5884 13
5887 13
5943 13
5946 13
5968 13
5969 13
5973 13
5975 13
5976 13
5984 13
6039 13
6047 13
6048 13
6061 13
6073 13
6074 13
6077 13
6079 13
6080 13
6081 13
6083 13
6088 13
6148 13
6149 13
6173 13
6174 13
6175 13
6177 13
6178 13
6179 13
6180 13
6185 13
6187 13
6239 13
6268 13
6269 13
6270 13
6271 13
6273 13
6274 13
6335 13
6360 13
6361 13
6362 13
6363 13
6364 13
6425 13
6451 13
6452 13
6453 13
6454 13
6455 13
6457 13
6536 13
6538 13
6540 13
6544 13
6623 13
6690 13
6699 13
6701 13
6774 13
6775 13
6906 13
6909 13
6917 13
6920 13
6980 13
6985 13
7052 13
7053 13
7056 13
7057 13
7122 13
7125 13
7198 13
7200 13
7269 13
9890 13
9945 13
10998 13
