pt_graph freq
100 0.25
162 0.75
200 0.75
224 0.25
242 0.75
268 0.75
293 0.25
345 0.75
348 0.25
373 0.75
458 0.75
459 0.75
469 0.75
486 0.75
488 0.75
567 0.75
570 0.75
574 0.75
607 0.25
613 0.25
617 0.25
618 0.25
621 0.75
622 0.75
637 0.75
643 0.25
679 0.25
685 0.25
713 0.75
771 0.75
790 0.75
804 0.25
843 0.75
854 0.75
901 0.75
904 0.75
907 0.75
953 0.75
957 0.75
987 0.25
988 0.25
1006 0.25
1011 0.75
1012 0.75
1013 0.75
1039 0.25
1040 0.25
1047 0.25
1065 0.75
1090 0.75
1096 0.25
1101 0.25
1106 0.25
1126 0.75
1127 0.75
1132 0.75
1133 0.75
1134 0.75
1158 0.25
1159 0.25
1168 0.25
1170 0.25
1175 0.25
1191 0.75
1192 0.75
1195 0.75
1221 0.25
1233 0.25
1234 0.25
1235 0.25
1236 0.25
1282 0.25
1283 0.25
1285 0.25
1301 0.25
1302 0.25
1328 0.75
1347 0.25
1348 0.25
1349 0.25
1350 0.25
1351 0.25
1368 0.25
1369 0.25
1385 0.75
1393 0.75
1410 0.25
1412 0.25
1413 0.25
1414 0.25
1415 0.25
1416 0.25
1434 0.25
1435 0.25
1458 0.75
1459 0.75
1484 0.25
1496 0.25
1497 0.25
1498 0.25
1499 0.25
1500 0.25
1501 0.25
1525 0.75
1526 0.75
1527 0.75
1528 0.75
1557 0.25
1564 0.25
1568 0.25
1569 0.25
1570 0.25
1593 0.75
1597 0.75
1598 0.75
1599 0.75
1638 0.25
1640 0.25
1643 0.25
1644 0.25
1647 0.25
1667 0.75
1668 0.75
1702 0.25
1708 0.25
1721 0.75
1780 0.25
1809 0.75
1812 0.75
1841 0.25
1844 0.25
1858 0.25
1866 0.75
1875 0.75
1885 0.75
1926 0.25
1943 0.75
1965 0.75
1967 0.75
2007 0.25
2043 0.25
2047 0.75
2093 0.25
2103 0.25
2115 0.25
2126 0.25
2175 0.25
2182 0.25
2210 0.25
2215 0.75
2265 0.25
2267 0.25
2288 0.25
2299 0.75
2340 0.25
2352 0.25
2362 0.25
2364 0.25
2420 0.25
2423 0.25
2458 0.75
2536 0.75
2588 0.25
2589 0.25
2601 0.25
2605 0.25
2607 0.25
2608 0.25
2616 0.75
2668 0.25
2669 0.25
2685 0.25
2687 0.25
2702 0.75
2767 0.25
2768 0.25
2769 0.25
2775 0.25
2784 0.75
2833 0.25
2834 0.25
2843 0.25
2849 0.25
2850 0.25
2863 0.75
2865 0.75
2915 0.25
2926 0.25
2939 0.25
2940 0.75
2986 0.25
3000 0.25
3007 0.25
3074 0.25
3085 0.25
3135 0.25
3144 0.25
3145 0.25
3146 0.25
3222 0.25
3224 0.25
3239 0.75
3301 0.75
3303 0.25
3306 0.25
3308 0.25
3321 0.25
3384 0.75
3386 0.25
3387 0.25
3389 0.25
3390 0.25
3391 0.25
3394 0.25
3397 0.25
3463 0.75
3468 0.25
3469 0.25
3470 0.25
3471 0.25
3552 0.25
3553 0.25
3635 0.25
3636 0.25
3637 0.25
9645 0.75
9692 0.75
10301 0.75
10768 0.75
10769 0.75
10776 0.75
10777 0.75
10778 0.75
10781 0.75
