pt_graph met
3161 13
3400 13
3642 13
3728 13
3918 13
4082 13
4166 13
4183 13
4533 13
4728 13
4794 13
4890 13
4973 13
4980 13
4981 13
5064 13
5065 13
5089 13
5146 13
5267 13
5344 13
5355 13
5419 13
5502 13
5509 13
5516 13
5517 13
5518 13
5534 13
5591 13
5606 13
5614 13
5615 13
5616 13
5618 13
5621 13
5674 13
5675 13
5676 13
5677 13
5688 13
5691 13
5694 13
5701 13
5703 13
5704 13
5761 13
5784 13
5793 13
5796 13
5850 13
5879 13
5887 13
5946 13
5968 13
5969 13
5973 13
5975 13
5976 13
5982 13
5984 13
6049 13
6052 13
6053 13
6073 13
6074 13
6077 13
6079 13
6088 13
6089 13
6174 13
6175 13
6177 13
6178 13
6179 13
6180 13
6187 13
6268 13
6269 13
6270 13
6271 13
6274 13
6360 13
6361 13
6364 13
6434 13
6439 13
6451 13
6453 13
6539 13
6623 13
6700 13
6775 13
6985 13
7052 13
7057 13
7120 13
7121 13
7123 13
7125 13
7194 13
7197 13
7198 13
7200 13
7266 13
7269 13
7397 13
