pt_graph freq
1673 0.25
1819 0.25
1969 0.25
1970 0.25
2299 0.25
2301 0.25
2459 0.25
2535 0.25
2537 0.25
2546 0.25
2618 0.25
2864 0.75
3089 0.25
3166 0.25
3238 0.25
3324 0.75
3411 0.25
3484 0.75
3487 0.25
3573 0.25
3660 0.25
3745 0.25
3817 0.75
3834 0.25
3920 0.75
4003 0.75
4007 0.75
4094 0.25
4102 0.25
4260 0.25
4264 0.25
4271 0.75
4272 0.75
4360 0.75
4459 0.25
4544 0.75
4642 0.25
4712 0.75
4903 0.25
4984 0.75
4989 0.25
4993 0.25
4998 0.25
5089 0.75
5092 0.75
5164 0.75
5178 0.75
5179 0.75
5261 0.25
5270 0.75
5344 0.75
5355 0.75
5356 0.75
5426 0.75
5427 0.75
5429 0.75
5430 0.75
5436 0.75
5515 0.75
5516 0.75
5517 0.75
5518 0.75
5533 0.75
5602 0.75
5605 0.75
5606 0.75
5614 0.75
5615 0.75
5618 0.75
5620 0.75
5689 0.75
5690 0.75
5692 0.75
5694 0.75
5702 0.75
5704 0.75
5707 0.75
5777 0.75
5783 0.75
5784 0.75
5792 0.75
5793 0.75
5795 0.75
5798 0.75
5871 0.75
5878 0.75
5879 0.75
5885 0.75
5886 0.75
5887 0.75
5968 0.75
5969 0.75
5970 0.75
5975 0.75
5976 0.75
5983 0.75
5984 0.75
6073 0.75
6074 0.75
6076 0.75
6077 0.75
6078 0.75
6079 0.75
6080 0.75
6087 0.75
6088 0.75
6174 0.75
6175 0.75
6177 0.75
6178 0.75
6179 0.75
6180 0.75
6182 0.75
6184 0.75
6268 0.75
6269 0.75
6270 0.75
6271 0.75
6360 0.75
6361 0.75
6362 0.75
6363 0.75
6449 0.75
6451 0.75
6452 0.75
6453 0.75
6536 0.75
6537 0.75
6541 0.75
6622 0.75
6624 0.75
6776 0.75
6917 0.75
6918 0.75
6985 0.75
7056 0.75
7057 0.75
9701 0.25
9872 0.25
9939 0.25
9950 0.25
10004 0.75
10027 0.25
10347 0.25
10349 0.25
10385 0.25
10908 0.25
10944 0.75
10982 0.25
