pt_graph shape
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
1882 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2043 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2124 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2292 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2285 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2369 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2367 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2366 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2607 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2606 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2775 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2768 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2762 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2850 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2849 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2848 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2926 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2925 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
2918 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3012 1
3000 1
3000 1
3000 1
3000 1
3000 1
3000 1
