pt_graph freq
10 0.75
18 0.75
19 0.75
40 0.75
48 0.75
49 0.75
54 0.75
55 0.75
56 0.75
63 0.75
66 0.75
67 0.75
74 0.75
75 0.75
76 0.75
77 0.75
87 0.75
89 0.75
90 0.75
100 0.75
110 0.75
112 0.75
113 0.75
117 0.75
122 0.75
136 0.75
143 0.75
177 0.75
180 0.75
200 0.75
208 0.75
209 0.75
213 0.75
214 0.75
237 0.75
240 0.75
241 0.75
242 0.75
243 0.75
259 0.75
269 0.75
310 0.75
314 0.75
370 0.75
371 0.75
380 0.75
413 0.75
426 0.75
433 0.75
459 0.75
484 0.75
508 0.75
510 0.75
512 0.75
514 0.75
526 0.75
538 0.75
540 0.75
542 0.75
555 0.75
567 0.75
581 0.75
585 0.75
612 0.75
617 0.75
619 0.75
621 0.75
622 0.75
643 0.75
644 0.75
657 0.75
658 0.75
686 0.75
694 0.75
710 0.75
755 0.75
756 0.75
761 0.75
793 0.75
801 0.75
804 0.75
881 0.75
882 0.75
933 0.75
1037 0.75
1138 0.25
10239 0.75
10488 0.75
