pt_graph met
3 18
4 18
5 18
6 18
8 18
12 18
15 18
23 18
25 18
45 18
55 18
63 18
75 18
76 18
109 18
130 18
133 18
140 18
151 18
152 18
154 18
173 18
190 18
192 18
193 18
214 18
231 18
272 18
331 18
335 18
424 18
447 18
648 18
762 19
1412 19
1476 19
1762 19
1834 19
1914 19
1915 19
1997 19
2487 19
2530 19
2566 19
2582 19
2650 19
2652 19
2667 19
2692 19
2731 19
2732 19
2735 19
2753 19
2775 19
2813 19
2816 19
2900 19
2935 19
2965 19
3043 19
3085 19
3086 19
3157 19
3319 19
3403 19
3565 19
4890 19
4976 19
4981 19
4987 19
5165 19
5430 19
5880 19
9794 19
10387 18
10944 19
