pt_graph freq
2548 1
2633 1
2716 1
2798 1
2875 1
2950 1
3098 1
3664 1
3750 1
3751 1
3756 1
3777 1
3841 1
3842 1
3869 1
3930 1
3931 1
3932 1
3933 1
3952 1
4019 1
4218 1
4285 1
4299 1
4387 1
4391 1
4397 1
4463 1
4665 1
4669 1
4759 1
5108 1
5117 1
5193 1
5304 1
5544 1
5629 1
5633 1
5646 1
5716 1
5717 1
5718 1
5722 1
5807 1
5808 1
5814 1
5816 1
5817 1
5818 1
5819 1
5831 1
5894 1
5896 1
5912 1
5913 1
5914 1
5915 1
5993 1
5996 1
5997 1
5998 1
6015 1
6021 1
6031 1
6097 1
6098 1
6100 1
6133 1
6190 1
6194 1
6195 1
6197 1
6198 1
6209 1
6213 1
6233 1
6288 1
6289 1
6291 1
6303 1
6310 1
6315 1
6405 1
6413 1
6466 1
6493 1
6494 1
6551 1
6558 1
6567 1
6579 1
6587 1
6639 1
6640 1
6641 1
6649 1
6650 1
6660 1
6730 1
6736 1
6789 1
6790 1
6801 1
6802 1
6803 1
6816 1
6862 1
6872 1
6873 1
6874 1
6875 1
6877 1
6882 1
6931 1
6932 1
6933 1
6940 1
6942 1
6943 1
6946 1
6947 1
6957 1
7000 1
7001 1
7010 1
7011 1
7072 1
7073 1
7074 1
7082 1
7098 1
7129 1
7131 1
7144 1
7151 1
7234 1
7235 1
7240 1
7305 1
7363 1
7427 1
7544 1
7573 1
7586 1
7588 1
7698 1
7739 1
7755 1
7797 1
7829 1
7854 1
7910 1
7929 1
7935 1
7936 1
7967 1
7978 1
7992 1
8034 1
8035 1
8044 1
8050 1
8087 1
8088 1
8134 1
8137 1
8189 1
8213 1
8243 1
8247 1
8301 1
8314 1
8352 1
8353 1
8402 1
8404 1
8459 1
10108 1
10134 1
10166 1
10424 1
10964 1
