pt_graph met
2547 17
2548 17
2633 17
2714 17
2716 17
2717 17
2798 17
2801 17
2875 17
2950 17
3025 17
3113 17
3581 17
3602 17
3664 17
3665 17
3691 17
3750 17
3756 17
3838 17
3841 17
3842 17
3869 17
3928 17
3931 17
3932 17
3933 17
3938 17
3952 17
4019 17
4111 17
4207 17
4313 17
4371 17
4387 17
4391 17
4570 17
4753 17
4853 17
5019 17
5022 17
5103 17
5108 17
5192 17
5202 17
5203 17
5283 17
5622 17
5624 17
5712 17
5716 17
5729 17
5807 17
5808 17
5809 17
5810 17
5815 17
5894 17
5905 17
5907 17
5911 17
5912 17
5913 17
5914 17
5915 17
5927 17
5993 17
5996 17
5997 17
5998 17
6015 17
6097 17
6098 17
6099 17
6100 17
6133 17
6194 17
6195 17
6285 17
6288 17
6402 17
6405 17
6416 17
6489 17
6494 17
6551 17
6559 17
6567 17
6640 17
6652 17
6654 17
6660 17
6722 17
6729 17
6730 17
6788 17
6799 17
6818 17
6858 17
6862 17
6872 17
6873 17
6874 17
6875 17
6877 17
6881 17
6931 17
6932 17
6933 17
6940 17
6942 17
6943 17
6944 17
6953 17
6957 17
6959 17
7000 17
7001 17
7010 17
7011 17
7015 17
7073 17
7074 17
7078 17
7082 17
7093 17
7098 17
7130 17
7144 17
7145 17
7158 17
7217 17
7436 17
7469 17
7534 17
7573 17
7601 17
7644 17
7657 17
7659 17
7660 17
7696 17
7698 17
7714 17
7739 17
7753 17
7799 17
7815 17
7826 17
7854 17
7887 17
7910 17
7911 17
7939 17
7967 17
7970 17
7983 17
8052 17
8079 17
8143 17
8147 17
8156 17
8158 17
8189 17
8201 17
8213 17
8243 17
8247 17
8252 17
8301 17
8315 17
8353 17
8364 17
8404 17
8405 17
8458 17
8459 17
10095 17
10108 17
10166 17
10402 17
10452 17
10458 17
10662 17
10678 17
