pt_graph shape
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6090 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6190 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6461 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
6546 1
