pt_graph met
2548 15
2549 15
2633 15
2716 15
2722 15
2798 15
2875 15
2951 15
3028 15
3098 15
3099 15
3417 15
3581 15
3664 15
3750 15
3756 15
3841 15
3842 15
3869 15
3928 15
3930 15
3931 15
3932 15
3933 15
3939 15
4019 15
4300 15
4303 15
4313 15
4387 15
4391 15
4402 15
4570 15
4660 15
4663 15
4759 15
4941 15
5030 15
5195 15
5283 15
5378 15
5716 15
5717 15
5722 15
5738 15
5807 15
5808 15
5810 15
5814 15
5815 15
5818 15
5895 15
5905 15
5906 15
5911 15
5913 15
5915 15
5928 15
5993 15
5996 15
5997 15
6011 15
6092 15
6096 15
6097 15
6098 15
6099 15
6100 15
6113 15
6192 15
6194 15
6195 15
6197 15
6200 15
6286 15
6287 15
6288 15
6315 15
6387 15
6410 15
6411 15
6488 15
6490 15
6494 15
6495 15
6551 15
6554 15
6558 15
6579 15
6632 15
6640 15
6660 15
6715 15
6729 15
6730 15
6735 15
6737 15
6744 15
6785 15
6789 15
6795 15
6801 15
6802 15
6803 15
6804 15
6862 15
6872 15
6873 15
6875 15
6879 15
6880 15
6888 15
6931 15
6932 15
6942 15
6943 15
6946 15
6992 15
7000 15
7005 15
7010 15
7011 15
7015 15
7027 15
7070 15
7072 15
7073 15
7074 15
7082 15
7085 15
7144 15
7278 15
7284 15
7286 15
7349 15
7371 15
7430 15
7489 15
7545 15
7698 15
7699 15
7709 15
7711 15
7714 15
7739 15
7771 15
7799 15
7826 15
7831 15
7854 15
7882 15
7885 15
7910 15
7911 15
7936 15
7967 15
7980 15
7992 15
8052 15
8092 15
8098 15
8106 15
8154 15
8158 15
8189 15
8192 15
8207 15
8213 15
8243 15
8247 15
8252 15
8261 15
8300 15
8301 15
8306 15
8307 15
8353 15
8404 15
10092 15
10108 15
10424 15
10452 15
