pt_graph freq
1411 1.00
1546 1.00
1612 1.00
1693 1.00
1834 1.00
1835 1.00
1882 1.00
1915 1.00
1917 1.00
1996 1.00
2079 1.00
2423 1.00
2487 1.00
2529 1.00
2566 1.00
2582 1.00
2650 1.00
2651 1.00
2652 1.00
2732 1.00
2735 1.00
2736 1.00
2775 1.00
2816 1.00
2818 1.00
2835 1.00
2890 1.00
2895 1.00
2899 1.00
2965 1.00
2974 1.00
3084 1.00
3085 0.75
3085 0.25
3086 1.00
3156 1.00
3157 1.00
3648 1.00
4271 1.00
4356 1.00
4452 1.00
4533 1.00
4634 1.00
4712 1.00
4801 1.00
4820 1.00
4890 1.00
4891 1.00
4910 1.00
4981 1.00
5074 1.00
5075 1.00
5180 1.00
5254 1.00
5355 1.00
5426 1.00
5427 1.00
5430 0.75
5430 0.25
5446 1.00
5514 1.00
5517 1.00
5532 1.00
5601 1.00
5605 1.00
5606 1.00
5614 1.00
5615 1.00
5618 1.00
5689 1.00
5694 1.00
5701 1.00
5708 1.00
5790 1.00
5794 1.00
5795 1.00
5796 1.00
5878 1.00
5879 1.00
5882 1.00
5887 1.00
5968 1.00
5969 1.00
5976 1.00
6073 1.00
6077 1.00
6079 1.00
6080 1.00
6083 1.00
6173 1.00
6174 1.00
6175 1.00
6177 1.00
6178 1.00
6184 1.00
6268 1.00
6269 1.00
6270 1.00
6271 1.00
6274 1.00
6360 1.00
6361 1.00
6363 1.00
6364 1.00
6449 1.00
6453 1.00
6456 1.00
6538 1.00
6624 1.00
6627 1.00
6699 1.00
9794 1.00
10342 1.00
