pt_graph met
2547 18
2548 18
2633 18
2716 18
2717 18
2798 18
2875 18
2877 18
3025 18
3039 18
3097 18
3581 18
3664 18
3665 18
3750 18
3756 18
3777 18
3838 18
3841 18
3842 18
3869 18
3928 18
3932 18
4019 18
4293 18
4303 18
4391 18
4660 18
4663 18
4844 18
4845 18
4851 18
5194 18
5283 18
5284 18
5542 18
5544 18
5633 18
5646 18
5716 18
5718 18
5805 18
5807 18
5808 18
5810 18
5814 18
5815 18
5818 18
5820 18
5832 18
5894 18
5895 18
5904 18
5905 18
5906 18
5911 18
5912 18
5913 18
5915 18
5993 18
5997 18
5998 18
6002 18
6024 18
6097 18
6098 18
6099 18
6100 18
6116 18
6133 18
6134 18
6189 18
6190 18
6193 18
6194 18
6195 18
6197 18
6213 18
6219 18
6282 18
6288 18
6289 18
6304 18
6311 18
6314 18
6321 18
6388 18
6403 18
6473 18
6494 18
6495 18
6551 18
6563 18
6567 18
6572 18
6579 18
6586 18
6638 18
6639 18
6640 18
6646 18
6660 18
6714 18
6730 18
6731 18
6736 18
6789 18
6801 18
6802 18
6803 18
6808 18
6809 18
6810 18
6862 18
6865 18
6872 18
6873 18
6874 18
6875 18
6877 18
6880 18
6932 18
6933 18
6942 18
6943 18
6946 18
6954 18
7000 18
7003 18
7004 18
7010 18
7014 18
7021 18
7074 18
7082 18
7130 18
7144 18
7166 18
7215 18
7284 18
7298 18
7304 18
7336 18
7373 18
7434 18
7478 18
7488 18
7546 18
7643 18
7698 18
7739 18
7755 18
7799 18
7854 18
7910 18
7911 18
7932 18
7967 18
8089 18
8103 18
8153 18
8189 18
8190 18
8243 18
8247 18
8264 18
8301 18
8306 18
8309 18
8353 18
8358 18
8404 18
8409 18
8413 18
8459 18
10108 18
10166 18
10415 18
10424 18
10428 18
10452 18
10465 18
