pt_graph freq
3 1
4 1
7 1
11 1
15 1
25 1
36 1
45 1
49 1
55 1
56 1
63 1
75 1
96 1
112 1
130 1
152 1
171 1
172 1
214 1
218 1
219 1
224 1
398 1
619 1
887 1
938 1
988 1
991 1
993 1
1043 1
1106 1
1107 1
1154 1
1158 1
1165 1
1169 1
1170 1
1172 1
1218 1
1221 1
1234 1
1235 1
1285 1
1301 1
1302 1
1347 1
1349 1
1350 1
1351 1
1363 1
1367 1
1368 1
1369 1
1412 1
1413 1
1414 1
1415 1
1416 1
1417 1
1433 1
1434 1
1435 1
1470 1
1476 1
1478 1
1483 1
1484 1
1485 1
1496 1
1497 1
1498 1
1499 1
1538 1
1546 1
1550 1
1561 1
1569 1
1573 1
1611 1
1612 1
1614 1
1638 1
1682 1
1693 1
1705 1
1708 1
1753 1
1761 1
1762 1
1765 1
1769 1
1770 1
1833 1
1857 1
1912 1
1914 1
1915 1
1997 1
2082 1
2157 1
2167 1
2172 1
2251 1
2332 1
2340 1
2408 1
2420 1
2480 1
2487 1
2566 1
