pt_graph freq
30 1
39 1
51 1
53 1
54 1
55 1
56 1
68 1
73 1
74 1
75 1
76 1
77 1
90 1
91 1
95 1
98 1
99 1
100 1
112 1
113 1
114 1
117 1
122 1
134 1
157 1
180 1
188 1
197 1
200 1
201 1
221 1
231 1
241 1
242 1
275 1
281 1
283 1
285 1
286 1
303 1
309 1
313 1
314 1
332 1
357 1
373 1
377 1
391 1
400 1
420 1
421 1
423 1
426 1
434 1
442 1
446 1
459 1
462 1
472 1
484 1
492 1
493 1
509 1
519 1
521 1
526 1
538 1
567 1
570 1
576 1
585 1
607 1
608 1
619 1
620 1
621 1
622 1
643 1
644 1
645 1
652 1
657 1
658 1
660 1
661 1
677 1
694 1
698 1
720 1
725 1
732 1
735 1
756 1
760 1
811 1
812 1
850 1
852 1
853 1
854 1
876 1
881 1
882 1
900 1
901 1
903 1
904 1
952 1
956 1
957 1
958 1
959 1
985 1
1009 1
1011 1
1012 1
1013 1
1033 1
1060 1
1068 1
1069 1
1073 1
1090 1
1126 1
1127 1
1133 1
1150 1
1169 1
1191 1
1192 1
1195 1
1219 1
1228 1
1235 1
1254 1
1256 1
1259 1
1260 1
1294 1
1324 1
1325 1
1328 1
1346 1
1353 1
1391 1
1393 1
1409 1
1420 1
1424 1
1432 1
1458 1
1459 1
1460 1
1500 1
1515 1
1525 1
1526 1
1528 1
1559 1
1564 1
1597 1
1599 1
1656 1
1658 1
1666 1
1667 1
1668 1
1689 1
1694 1
1700 1
1715 1
1737 1
1738 1
1782 1
1810 1
1811 1
1812 1
1867 1
1884 1
1885 1
1887 1
1923 1
1942 1
1964 1
1965 1
1966 1
1967 1
2030 1
2043 1
2047 1
2091 1
2114 1
2130 1
2199 1
2214 1
2279 1
2285 1
2296 1
2412 1
2418 1
2455 1
2536 1
2579 1
2602 1
2616 1
2701 1
2702 1
2747 1
2749 1
2777 1
2784 1
2847 1
2864 1
2942 1
2980 1
2986 1
2989 1
3065 1
3078 1
3155 1
3161 1
3227 1
3239 1
3304 1
3382 1
3383 1
3385 1
3387 1
3461 1
3463 1
3480 1
3805 1
3996 1
4079 1
4167 1
9692 1
10235 1
10237 1
10259 1
10260 1
10301 1
10486 1
10488 1
10769 1
10776 1
10777 1
