pt_graph met
3 23
4 23
6 23
12 23
14 23
15 23
17 23
30 23
42 23
55 23
56 23
57 13
63 23
67 13
75 23
95 13
135 13
137 23
151 23
152 23
158 13
192 23
200 13
204 13
242 13
243 13
254 23
261 13
267 13
271 23
272 23
276 13
282 13
377 13
396 13
458 13
459 13
465 13
468 13
484 13
509 13
510 13
542 13
550 13
575 13
585 23
608 13
621 13
622 13
642 13
644 23
660 13
681 13
710 13
725 23
726 23
736 13
756 13
773 13
794 23
801 23
806 13
835 23
854 13
884 23
885 23
901 13
903 13
908 13
922 13
931 13
938 23
958 13
959 13
980 13
987 23
988 23
993 23
1011 13
1012 13
1013 13
1047 23
1048 23
1065 13
1096 23
1104 23
1126 13
1127 13
1128 13
1133 13
1154 23
1158 23
1170 23
1171 23
1172 23
1191 13
1192 13
1195 13
1221 23
1226 23
1234 23
1235 23
1236 23
1258 13
1259 13
1282 23
1285 23
1286 23
1300 23
1301 23
1302 23
1324 13
1347 23
1348 23
1349 23
1350 23
1362 23
1367 23
1368 23
1369 23
1374 13
1391 13
1407 13
1411 23
1413 23
1414 23
1415 23
1416 23
1417 23
1431 23
1434 23
1435 23
1453 23
1474 13
1484 23
1485 23
1496 23
1497 23
1498 23
1499 23
1500 23
1546 23
1548 23
1556 23
1566 23
1568 23
1569 23
1570 23
1628 23
1638 23
1643 23
1644 23
1651 13
1719 23
1727 23
1761 23
1766 23
1768 23
1771 23
1778 23
1781 23
1788 13
1800 13
1873 13
1920 23
1926 23
1927 23
1952 23
2099 23
2105 23
2110 23
2178 23
2187 23
2188 23
2190 23
2204 23
2271 23
2273 23
2421 23
2506 23
2507 23
2509 23
2510 23
10477 23
10482 13
10548 13
10769 13
10772 13
10776 13
10777 13
10778 13
10801 23
