pt_graph freq
4092 1
4099 1
4100 1
4359 1
4363 1
4529 1
4544 1
4620 1
4635 1
4638 1
4709 1
4727 1
4890 1
4981 1
5254 1
5255 1
5342 1
5343 1
5358 1
5419 1
5429 1
5430 1
5517 1
5518 1
5593 1
5606 1
5607 1
5614 1
5618 1
5676 1
5688 1
5694 1
5701 1
5704 1
5777 1
5779 1
5783 1
5796 1
5878 1
5879 1
5882 1
5886 1
5887 1
5969 1
5976 1
5984 1
6073 1
6077 1
6079 1
6080 1
6081 1
6174 1
6175 1
6177 1
6178 1
6179 1
6180 1
6268 1
6269 1
6270 1
6271 1
6274 1
6360 1
6361 1
6364 1
6450 1
6451 1
6452 1
6453 1
6536 1
6538 1
6619 1
6847 1
6848 1
6916 1
7051 1
7120 1
7200 1
7269 1
7397 1
