pt_graph met
4182 18
4273 18
4543 18
4729 18
5089 18
5180 18
5337 18
5430 18
5436 18
5516 18
5517 18
5533 18
5605 18
5606 18
5614 18
5615 18
5618 18
5688 18
5701 18
5784 18
5786 18
5795 18
5796 18
5870 18
5872 18
5879 18
5887 18
5976 18
5978 18
5979 18
5984 18
6073 18
6074 18
6080 18
6081 18
6087 18
6174 18
6175 18
6177 18
6178 18
6179 18
6268 18
6269 18
6270 18
6271 18
6274 18
6277 18
6360 18
6363 18
6364 18
6451 18
6452 18
6453 18
6454 18
6612 18
6698 18
6703 18
6779 18
6845 18
7050 18
7056 18
7122 18
7198 18
7199 18
7332 18
7396 18
