vids freq
BEL000021964 0.002926
BEL000021964 0.001775
BEL000021964 0.004196
BEL000021964 0.012514
BEL000021964 0.011790
BEL000021964 0.011758
BEL000021964 0.013081
BEL000021964 0.010681
BEL000021964 0.005540
BEL000021964 0.015681
BEL000021964 0.011190
BEL000021964 0.009554
BEL000021964 0.009826
BEL000021964 0.008937
BEL000021964 0.003206
BEL000021964 0.004505
BEL000021964 0.011469
BEL000021964 0.007656
BEL000021964 0.012407
BEL000021964 0.011618
BEL000021964 0.007542
BEL000021964 0.006030
BEL000021964 0.005352
BEL000021964 0.010385
BEL000021964 0.007311
BEL000021964 0.006080
BEL000021964 0.007510
BEL000021964 0.006218
BEL000021964 0.002154
BEL000021964 0.001856
BEL000021964 0.009208
BEL000021964 0.000346
BEL000021964 0.006025
BEL000021964 0.007195
BEL000021964 0.012498
BEL000021964 0.007542
BEL000021964 0.009470
BEL000021964 0.003594
BEL000021964 0.007193
BEL000021964 0.010841
BEL000021964 0.000436
BEL000021964 0.005295
BEL000021964 0.000881
BEL000021964 0.006640
BEL000021964 0.008217
BEL000021964 0.005950
BEL000021964 0.004543
BEL000021964 0.006624
BEL000021964 0.000895
BEL000021964 0.000703
BEL000021964 0.009132
BEL000021964 0.003560
BEL000021964 0.001010
BEL000021964 0.014156
BEL000021964 0.002670
BEL000021964 0.010207
BEL000021964 0.009441
BEL000021964 0.006414
BEL000021964 0.007061
BEL000021964 0.012057
BEL000021964 0.010478
BEL000021964 0.004374
BEL000021964 0.006897
BEL000021964 0.009454
BEL000021964 0.007956
BEL000021964 0.000060
BEL000021964 0.022877
BEL000021964 0.026113
BEL000021964 0.014095
BEL000021964 0.021971
BEL000021964 0.009654
BEL000021964 0.009092
BEL000021964 0.000908
BEL000021964 0.005448
BEL000021964 0.012126
BEL000021964 0.010260
BEL000021964 0.015998
BEL000021964 0.004888
BEL000021964 0.009528
BEL000021964 0.004423
BEL000021964 0.021377
BEL000021964 0.001910
BEL000021964 0.012861
BEL000021964 0.010002
BEL000021964 0.002005
BEL000021964 0.006687
BEL000021964 0.005905
BEL000021964 0.012092
BEL000021964 0.008242
BEL000021964 0.002460
BEL000021964 0.012863
BEL000021964 0.016524
BEL000021964 0.000281
BEL000021964 0.005318
BEL000021964 0.013841
BEL000021964 0.017636
BEL000021964 0.000235
BEL000021964 0.013346
BEL000021964 0.010183
BEL000021964 0.029776
BEL000021964 0.009993
BEL000021964 0.015374
BEL000021964 0.014095
BEL000021964 0.021581
BEL000021964 0.006932
BEL000021964 0.020784
BEL000021964 0.012873
BEL000021964 0.008470
BEL000021964 0.008018
BEL000021964 0.002535
BEL000021964 0.003783
BEL000021964 0.001927
BEL000021964 0.000865
BEL000021964 0.001878
BEL000021964 0.000344
BEL000021964 0.001287
BEL000021964 0.001050
BEL000021964 0.000642
BEL000021964 0.002164
BEL000021964 0.001613
BEL000021964 0.002695
BEL000021964 0.003321
BEL000021964 0.005346
BEL000021964 0.000969
BEL000041982 0.045264
BEL000041982 0.042738
BEL000041982 0.011188
BEL000041982 0.034126
BEL000041982 0.018492
BEL000041982 0.000127
BEL000041982 0.000071
BEL000041982 0.005542
BEL000041982 0.006401
BEL000041982 0.000851
BEL000041982 0.028043
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.075915
BEL000041982 0.010793
BEL000041982 0.012687
BEL000041982 0.007080
BEL000041982 0.000127
BEL000041982 0.009522
BEL000041982 0.008119
BEL000041982 0.000127
BEL000041982 0.000098
BEL000041982 0.005432
BEL000041982 0.000127
BEL000041982 0.032919
BEL000041982 0.010407
BEL000041982 0.006752
BEL000041982 0.000366
BEL000041982 0.010850
BEL000041982 0.001368
BEL000041982 0.020546
BEL000041982 0.012354
BEL000041982 0.000677
BEL000041982 0.000127
BEL000041982 0.005384
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000332
BEL000041982 0.000039
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000792
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.006118
BEL000041982 0.000127
BEL000041982 0.000127
BEL000041982 0.011614
BEL000041982 0.010930
BEL000041982 0.014426
BEL000041982 0.005681
BEL000041982 0.004983
BEL000041982 0.000277
BEL000041982 0.012491
BEL000041982 0.007851
BEL000041982 0.003171
BEL000041982 0.006275
BEL000041982 0.010250
BEL000041982 0.008289
BEL000041982 0.000054
BEL000041982 0.013912
BEL000041982 0.018992
BEL000041982 0.011381
BEL000041982 0.070959
BEL000041982 0.010567
BEL000041982 0.015466
BEL000041982 0.019597
BEL000041982 0.011278
BEL000041982 0.047465
BEL000041982 0.024792
BEL000041982 0.031432
BEL000041982 0.020626
BEL000041982 0.011463
BEL000041982 0.013975
BEL000041982 0.006498
BEL000041982 0.031552
BEL000041982 0.014754
BEL000041982 0.003383
BEL000041982 0.005475
BEL000041982 0.042504
BEL000041982 0.040188
BEL000041982 0.000745
BEL000041982 0.001513
BEL000071985 0.000109
BEL000071985 0.002296
BEL000071985 0.002628
BEL000071985 0.004906
