pt_graph freq
3 0.75
4 0.75
11 0.75
12 0.75
15 0.75
23 0.75
48 0.75
55 0.75
56 0.75
63 0.75
75 0.75
95 0.25
98 0.75
130 0.75
132 0.75
136 0.25
138 0.75
151 0.75
152 0.75
165 0.25
171 0.75
173 0.75
192 0.75
197 0.75
274 0.75
346 0.25
438 0.25
448 0.25
463 0.25
464 0.25
489 0.25
492 0.25
497 0.25
517 0.25
546 0.25
573 0.25
574 0.25
691 0.25
722 0.75
723 0.75
759 0.75
798 0.75
849 0.75
886 0.75
891 0.75
938 0.75
942 0.75
987 0.75
988 0.75
989 0.75
995 0.75
1042 0.75
1043 0.75
1096 0.75
1105 0.75
1154 0.75
1158 0.75
1159 0.75
1170 0.75
1221 0.75
1282 0.75
1284 0.75
1285 0.75
1286 0.75
10237 0.75
10791 0.75
