pt_graph met
3 28
4 28
6 28
8 28
12 28
15 28
23 28
30 28
54 28
55 28
56 28
57 18
63 28
67 18
76 28
97 28
99 28
135 18
152 28
182 18
183 28
184 18
192 28
202 18
208 28
214 28
231 28
237 18
241 18
242 18
243 18
247 18
258 18
282 18
283 18
286 18
309 18
310 18
332 18
343 18
361 28
368 18
377 18
439 18
476 28
487 18
489 18
498 18
501 18
508 18
510 18
511 18
541 18
545 18
567 18
569 18
571 18
581 18
589 18
606 28
621 18
622 18
648 28
660 18
677 18
692 18
698 18
728 18
735 18
751 28
756 18
759 28
773 18
830 18
851 18
854 18
863 28
899 18
901 18
937 28
947 18
949 18
952 18
987 28
988 28
989 28
992 28
993 28
1041 28
1043 28
1047 28
1048 28
1096 28
1101 28
1104 28
1106 28
1110 28
1158 28
1169 28
1170 28
1215 28
1221 28
1282 28
1285 28
1286 28
10769 18
10830 18
