pt_graph freq
1730 0.4780058
1730 0.5219942
1872 0.4780058
1872 0.5219942
1948 0.4780058
1948 0.5219942
2043 0.4780058
2043 0.5219942
2119 0.4780058
2119 0.5219942
2281 0.4780058
2281 0.5219942
2435 0.4780058
2435 0.5219942
2587 0.4780058
2587 0.5219942
2678 0.4780058
2678 0.5219942
2756 0.4780058
2756 0.5219942
2764 0.4780058
2764 0.5219942
2767 0.4780058
2767 0.5219942
2769 0.4780058
2769 0.5219942
2834 0.4780058
2834 0.5219942
2850 0.4780058
2850 0.5219942
3000 0.4780058
3000 0.5219942
3074 0.4780058
3074 0.5219942
3075 0.4780058
3075 0.5219942
3085 0.4780058
3085 0.5219942
3144 0.4780058
3144 0.5219942
3145 0.4780058
3145 0.5219942
3146 0.4780058
3146 0.5219942
3217 0.4780058
3217 0.5219942
3389 0.4780058
3389 0.5219942
3390 0.4780058
3390 0.5219942
3393 0.4780058
3393 0.5219942
3551 0.4780058
3551 0.5219942
3553 0.4780058
3553 0.5219942
3635 0.4780058
3635 0.5219942
3706 0.4780058
3706 0.5219942
3717 0.4780058
3717 0.5219942
3718 0.4780058
3718 0.5219942
3720 0.4780058
3720 0.5219942
3799 0.4780058
3799 0.5219942
3804 0.4780058
3804 0.5219942
3889 0.4780058
3889 0.5219942
3896 0.4780058
3896 0.5219942
3899 0.4780058
3899 0.5219942
3909 0.4780058
3909 0.5219942
3913 0.4780058
3913 0.5219942
3984 0.4780058
3984 0.5219942
4006 0.4780058
4006 0.5219942
4007 0.4780058
4007 0.5219942
4080 0.4780058
4080 0.5219942
4163 0.4780058
4163 0.5219942
4167 0.4780058
4167 0.5219942
4185 0.4780058
4185 0.5219942
4236 0.4780058
4236 0.5219942
4239 0.4780058
4239 0.5219942
4272 0.4780058
4272 0.5219942
4350 0.4780058
4350 0.5219942
4544 0.4780058
4544 0.5219942
4595 0.4780058
4595 0.5219942
4599 0.4780058
4599 0.5219942
4621 0.4780058
4621 0.5219942
4635 0.4780058
4635 0.5219942
4776 0.4780058
4776 0.5219942
4786 0.4780058
4786 0.5219942
4820 0.4780058
4820 0.5219942
4823 0.4780058
4823 0.5219942
4824 0.4780058
4824 0.5219942
4874 0.4780058
4874 0.5219942
4880 0.4780058
4880 0.5219942
4888 0.4780058
4888 0.5219942
4890 0.4780058
4890 0.5219942
4955 0.4780058
4955 0.5219942
4976 0.4780058
4976 0.5219942
4980 0.4780058
4980 0.5219942
4981 0.4780058
4981 0.5219942
5000 0.4780058
5000 0.5219942
5059 0.4780058
5059 0.5219942
5061 0.4780058
5061 0.5219942
5064 0.4780058
5064 0.5219942
5067 0.4780058
5067 0.5219942
5072 0.4780058
5072 0.5219942
5074 0.4780058
5074 0.5219942
5089 0.4780058
5089 0.5219942
5151 0.4780058
5151 0.5219942
5165 0.4780058
5165 0.5219942
5179 0.4780058
5179 0.5219942
5221 0.4780058
5221 0.5219942
5223 0.4780058
5223 0.5219942
5225 0.4780058
5225 0.5219942
5230 0.4780058
5230 0.5219942
5335 0.4780058
5335 0.5219942
5336 0.4780058
5336 0.5219942
5355 0.4780058
5355 0.5219942
5396 0.4780058
5396 0.5219942
5400 0.4780058
5400 0.5219942
5417 0.4780058
5417 0.5219942
5419 0.4780058
5419 0.5219942
5423 0.4780058
5423 0.5219942
5426 0.4780058
5426 0.5219942
5427 0.4780058
5427 0.5219942
5429 0.4780058
5429 0.5219942
5430 0.4780058
5430 0.5219942
5433 0.4780058
5433 0.5219942
5486 0.4780058
5486 0.5219942
5492 0.4780058
5492 0.5219942
5507 0.4780058
5507 0.5219942
5508 0.4780058
5508 0.5219942
5511 0.4780058
5511 0.5219942
5513 0.4780058
5513 0.5219942
5517 0.4780058
5517 0.5219942
5518 0.4780058
5518 0.5219942
5522 0.4780058
5522 0.5219942
5582 0.4780058
5582 0.5219942
5584 0.4780058
5584 0.5219942
5587 0.4780058
5587 0.5219942
5590 0.4780058
5590 0.5219942
5593 0.4780058
5593 0.5219942
5600 0.4780058
5600 0.5219942
5601 0.4780058
5601 0.5219942
5602 0.4780058
5602 0.5219942
5606 0.4780058
5606 0.5219942
5614 0.4780058
5614 0.5219942
5615 0.4780058
5615 0.5219942
5618 0.4780058
5618 0.5219942
5674 0.4780058
5674 0.5219942
5675 0.4780058
5675 0.5219942
5676 0.4780058
5676 0.5219942
5677 0.4780058
5677 0.5219942
5689 0.4780058
5689 0.5219942
5692 0.4780058
5692 0.5219942
5693 0.4780058
5693 0.5219942
5694 0.4780058
5694 0.5219942
5701 0.4780058
5701 0.5219942
5702 0.4780058
5702 0.5219942
5703 0.4780058
5703 0.5219942
5761 0.4780058
5761 0.5219942
5777 0.4780058
5777 0.5219942
5779 0.4780058
5779 0.5219942
5782 0.4780058
5782 0.5219942
5783 0.4780058
5783 0.5219942
5784 0.4780058
5784 0.5219942
5788 0.4780058
5788 0.5219942
5791 0.4780058
5791 0.5219942
5792 0.4780058
5792 0.5219942
5794 0.4780058
5794 0.5219942
5795 0.4780058
5795 0.5219942
5796 0.4780058
5796 0.5219942
5797 0.4780058
5797 0.5219942
5850 0.4780058
5850 0.5219942
5851 0.4780058
5851 0.5219942
5870 0.4780058
5870 0.5219942
5871 0.4780058
5871 0.5219942
5873 0.4780058
5873 0.5219942
5878 0.4780058
5878 0.5219942
5879 0.4780058
5879 0.5219942
5885 0.4780058
5885 0.5219942
5887 0.4780058
5887 0.5219942
5934 0.4780058
5934 0.5219942
5946 0.4780058
5946 0.5219942
5968 0.4780058
5968 0.5219942
5969 0.4780058
5969 0.5219942
5975 0.4780058
5975 0.5219942
5976 0.4780058
5976 0.5219942
5978 0.4780058
5978 0.5219942
5982 0.4780058
5982 0.5219942
5984 0.4780058
5984 0.5219942
6047 0.4780058
6047 0.5219942
6048 0.4780058
6048 0.5219942
6074 0.4780058
6074 0.5219942
6076 0.4780058
6076 0.5219942
6077 0.4780058
6077 0.5219942
6078 0.4780058
6078 0.5219942
6080 0.4780058
6080 0.5219942
6081 0.4780058
6081 0.5219942
6083 0.4780058
6083 0.5219942
6084 0.4780058
6084 0.5219942
6148 0.4780058
6148 0.5219942
6149 0.4780058
6149 0.5219942
6150 0.4780058
6150 0.5219942
6174 0.4780058
6174 0.5219942
6175 0.4780058
6175 0.5219942
6177 0.4780058
6177 0.5219942
6178 0.4780058
6178 0.5219942
6179 0.4780058
6179 0.5219942
6180 0.4780058
6180 0.5219942
6244 0.4780058
