pt_graph met
2043 14
2043 15
2043 16
2210 14
2210 15
2210 16
2607 14
2607 15
2607 16
2694 14
2694 15
2694 16
2775 14
2775 15
2775 16
3012 14
3012 15
3012 16
3321 14
3321 15
3321 16
3809 14
3809 15
3809 16
3818 14
3818 15
3818 16
3829 14
3829 15
3829 16
3910 14
3910 15
3910 16
4000 14
4000 15
4000 16
4250 14
4250 15
4250 16
4439 14
4439 15
4439 16
4529 14
4529 15
4529 16
4620 14
4620 15
4620 16
4635 14
4635 15
4635 16
4727 14
4727 15
4727 16
4729 14
4729 15
4729 16
4794 14
4794 15
4794 16
4801 14
4801 15
4801 16
4887 14
4887 15
4887 16
4888 14
4888 15
4888 16
4890 14
4890 15
4890 16
4895 14
4895 15
4895 16
4980 14
4980 15
4980 16
4981 14
4981 15
4981 16
5002 14
5002 15
5002 16
5070 14
5070 15
5070 16
5089 14
5089 15
5089 16
5181 14
5181 15
5181 16
5239 14
5239 15
5239 16
5355 14
5355 15
5355 16
5358 14
5358 15
5358 16
5419 14
5419 15
5419 16
5427 14
5427 15
5427 16
5430 14
5430 15
5430 16
5440 14
5440 15
5440 16
5504 14
5504 15
5504 16
5506 14
5506 15
5506 16
5508 14
5508 15
5508 16
5510 14
5510 15
5510 16
5515 14
5515 15
5515 16
5516 14
5516 15
5516 16
5517 14
5517 15
5517 16
5518 14
5518 15
5518 16
5533 14
5533 15
5533 16
5601 14
5601 15
5601 16
5602 14
5602 15
5602 16
5605 14
5605 15
5605 16
5606 14
5606 15
5606 16
5610 14
5610 15
5610 16
5614 14
5614 15
5614 16
5615 14
5615 15
5615 16
5618 14
5618 15
5618 16
5694 14
5694 15
5694 16
5695 14
5695 15
5695 16
5703 14
5703 15
5703 16
5777 14
5777 15
5777 16
5778 14
5778 15
5778 16
5784 14
5784 15
5784 16
5796 14
5796 15
5796 16
5871 14
5871 15
5871 16
5878 14
5878 15
5878 16
5879 14
5879 15
5879 16
5887 14
5887 15
5887 16
5975 14
5975 15
5975 16
5976 14
5976 15
5976 16
5984 14
5984 15
5984 16
6073 14
6073 15
6073 16
6074 14
6074 15
6074 16
6079 14
6079 15
6079 16
6080 14
6080 15
6080 16
6087 14
6087 15
6087 16
6173 14
6173 15
6173 16
6174 14
6174 15
6174 16
6177 14
6177 15
6177 16
6178 14
6178 15
6178 16
6179 14
6179 15
6179 16
6180 14
6180 15
6180 16
6181 14
6181 15
6181 16
6268 14
6268 15
6268 16
6269 14
6269 15
6269 16
6271 14
6271 15
6271 16
6274 14
6274 15
6274 16
6278 14
6278 15
6278 16
6360 14
6360 15
6360 16
6361 14
6361 15
6361 16
6364 14
6364 15
6364 16
6451 14
6451 15
6451 16
6452 14
6452 15
6452 16
6453 14
6453 15
6453 16
6538 14
6538 15
6538 16
6544 14
6544 15
6544 16
6621 14
6621 15
6621 16
6622 14
6622 15
6622 16
6702 14
6702 15
6702 16
6703 14
6703 15
6703 16
6764 14
6764 15
6764 16
6845 14
6845 15
6845 16
6917 14
6917 15
6917 16
6985 14
6985 15
6985 16
7047 14
7047 15
7047 16
7053 14
7053 15
7053 16
7122 14
7122 15
7122 16
7124 14
7124 15
7124 16
7200 14
7200 15
7200 16
7269 14
7269 15
7269 16
9737 14
9737 15
9737 16
11011 14
11011 15
11011 16
