pt_graph shape
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2370 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
2511 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3006 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3064 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
3135 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
4169 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
10000 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
9866 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5168 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5063 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5061 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5260 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5248 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5349 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5327 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5425 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5500 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5605 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5604 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5694 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5693 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5580 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5576 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5578 1
5577 1
5577 1
5577 1
5577 1
5577 1
5577 1
5577 1
5577 1
5577 1
