pt_graph freq
3 0.75
3 0.25
4 0.75
4 0.25
5 0.75
5 0.25
6 0.75
6 0.25
8 0.75
8 0.25
12 0.75
12 0.25
15 0.75
15 0.25
23 0.75
23 0.25
36 0.75
36 0.25
42 0.75
42 0.25
48 0.75
48 0.25
49 0.75
49 0.25
54 0.75
54 0.25
55 0.75
55 0.25
56 0.75
56 0.25
63 0.75
63 0.25
75 0.75
75 0.25
76 0.75
76 0.25
133 0.75
133 0.25
152 0.75
152 0.25
171 0.75
171 0.25
173 0.75
173 0.25
187 0.75
187 0.25
192 0.75
192 0.25
214 0.75
214 0.25
224 0.75
224 0.25
272 0.75
272 0.25
362 0.75
362 0.25
398 0.75
398 0.25
611 0.75
611 0.25
648 0.75
648 0.25
679 0.75
679 0.25
10239 0.75
10239 0.25
10389 0.75
10389 0.25
