pt_graph freq
2233 1
2391 1
2392 1
2469 1
2548 1
2716 1
2731 1
2732 1
2798 1
2812 1
2814 1
2875 1
2876 1
2886 1
2890 1
2893 1
2894 1
2966 1
2968 1
3025 1
3042 1
3528 1
3664 1
3750 1
3756 1
3777 1
3838 1
3841 1
3842 1
3869 1
3931 1
3932 1
3959 1
4019 1
4111 1
4298 1
4387 1
4391 1
4404 1
4484 1
4565 1
4735 1
4932 1
5283 1
5292 1
5370 1
5374 1
5456 1
5564 1
5568 1
5629 1
5633 1
5644 1
5716 1
5717 1
5731 1
5807 1
5808 1
5809 1
5810 1
5814 1
5815 1
5817 1
5818 1
5833 1
5834 1
5894 1
5905 1
5906 1
5911 1
5912 1
5913 1
5914 1
5915 1
5993 1
5997 1
5998 1
6009 1
6014 1
6030 1
6096 1
6097 1
6098 1
6099 1
6100 1
6102 1
6113 1
6133 1
6192 1
6194 1
6195 1
6196 1
6197 1
6221 1
6230 1
6233 1
6289 1
6404 1
6466 1
6484 1
6495 1
6551 1
6567 1
6568 1
6579 1
6580 1
6581 1
6640 1
6660 1
6666 1
6722 1
6729 1
6730 1
6781 1
6785 1
6802 1
6803 1
6809 1
6872 1
6873 1
6874 1
6877 1
6928 1
6931 1
6932 1
6937 1
6942 1
6943 1
6945 1
6999 1
7000 1
7001 1
7009 1
7011 1
7015 1
7026 1
7073 1
7144 1
7214 1
7223 1
7283 1
7289 1
7336 1
7349 1
7350 1
7357 1
7370 1
7433 1
7466 1
7469 1
7477 1
7480 1
7485 1
7490 1
7588 1
7642 1
7684 1
7698 1
7712 1
7739 1
7799 1
7854 1
7882 1
7910 1
7911 1
7989 1
7992 1
8023 1
8039 1
8137 1
8189 1
8192 1
8193 1
8247 1
8259 1
10060 1
10108 1
10142 1
10166 1
10182 1
10424 1
10452 1
10662 1
10701 1
10959 1
