pt_graph met
3750 18
3841 18
3842 18
3928 18
3931 18
3932 18
3933 18
3938 18
4019 18
4284 18
4387 18
4462 18
4573 18
4574 18
4663 18
4842 18
5015 18
5283 18
5371 18
5632 18
5716 18
5802 18
5807 18
5808 18
5809 18
5815 18
5817 18
5818 18
5822 18
5894 18
5904 18
5905 18
5913 18
5915 18
5919 18
5993 18
5996 18
5998 18
6003 18
6007 18
6017 18
6019 18
6097 18
6098 18
6099 18
6100 18
6194 18
6195 18
6197 18
6291 18
6297 18
6401 18
6405 18
6466 18
6479 18
6484 18
6490 18
6494 18
6573 18
6578 18
6639 18
6652 18
6660 18
6663 18
6729 18
6730 18
6736 18
6786 18
6789 18
6790 18
6801 18
6802 18
6803 18
6862 18
6872 18
6873 18
6874 18
6875 18
6877 18
6931 18
6939 18
6942 18
6943 18
6945 18
7000 18
7001 18
7002 18
7010 18
7011 18
7072 18
7129 18
7144 18
7145 18
7151 18
7217 18
7283 18
7359 18
7471 18
7475 18
7593 18
7657 18
7685 18
7698 18
7714 18
7769 18
7821 18
7854 18
7870 18
7882 18
7885 18
7910 18
7911 18
7938 18
7967 18
7986 18
7992 18
8080 18
8147 18
8189 18
8198 18
8213 18
8243 18
8247 18
8251 18
8263 18
8267 18
8270 18
8271 18
8316 18
8353 18
8358 18
8370 18
8371 18
8403 18
8404 18
8455 18
8457 18
8458 18
8503 18
8504 18
8505 18
8508 18
8524 18
8557 18
8558 18
8559 18
8571 18
8608 18
8623 18
8660 18
8709 18
8724 18
8767 18
8768 18
8816 18
8820 18
8875 18
8926 18
8928 18
8929 18
8930 18
10082 18
10108 18
10166 18
10223 18
10424 18
10452 18
10458 18
10962 18
