pt_graph met
2633 18
2634 18
2635 18
2716 18
2796 18
2798 18
2875 18
2876 18
2950 18
3024 18
3663 18
3750 18
3756 18
3838 18
3841 18
3842 18
3869 18
3928 18
3931 18
3932 18
4019 18
4129 18
4298 18
4371 18
4387 18
4391 18
4571 18
4572 18
4661 18
4663 18
4735 18
4745 18
4838 18
4929 18
5020 18
5283 18
5289 18
5372 18
5463 18
5465 18
5538 18
5633 18
5645 18
5646 18
5716 18
5717 18
5722 18
5723 18
5731 18
5808 18
5815 18
5816 18
5818 18
5891 18
5894 18
5905 18
5906 18
5911 18
5912 18
5913 18
5914 18
5993 18
5997 18
5998 18
6002 18
6097 18
6098 18
6099 18
6100 18
6122 18
6194 18
6195 18
6197 18
6288 18
6289 18
6292 18
6301 18
6302 18
6305 18
6310 18
6315 18
6390 18
6405 18
6466 18
6493 18
6494 18
6567 18
6639 18
6640 18
6652 18
6654 18
6660 18
6718 18
6730 18
6789 18
6799 18
6801 18
6803 18
6814 18
6862 18
6873 18
6874 18
6875 18
6931 18
6933 18
6942 18
6943 18
6944 18
6950 18
6999 18
7001 18
7010 18
7011 18
7092 18
7144 18
7146 18
7217 18
7219 18
7283 18
7285 18
7290 18
7294 18
7364 18
7416 18
7485 18
7534 18
7545 18
7594 18
7600 18
7628 18
7698 18
7710 18
7755 18
7769 18
7854 18
7910 18
7928 18
7936 18
7980 18
7983 18
7992 18
8088 18
8147 18
8152 18
8189 18
8202 18
8243 18
8247 18
8298 18
8301 18
8353 18
8456 18
8459 18
10108 18
10149 18
10166 18
10182 18
10402 18
10424 18
10452 18
10458 18
10698 18
