pt_graph freq
5716 1
5807 1
5808 1
5815 1
5816 1
5818 1
5906 1
5912 1
5915 1
5993 1
5997 1
5998 1
6018 1
6097 1
6098 1
6099 1
6100 1
6119 1
6193 1
6195 1
6197 1
6217 1
6222 1
6289 1
6315 1
6392 1
6398 1
6399 1
6481 1
6494 1
6640 1
6654 1
6660 1
6710 1
6736 1
6740 1
6789 1
6801 1
6802 1
6803 1
6804 1
6808 1
6862 1
6867 1
6872 1
6873 1
6874 1
6875 1
6877 1
6879 1
6931 1
6940 1
6943 1
6944 1
6945 1
6948 1
6949 1
6961 1
7000 1
7001 1
7010 1
7011 1
7072 1
7074 1
7092 1
7098 1
7099 1
7104 1
7144 1
7151 1
7176 1
7229 1
7231 1
7245 1
7247 1
7288 1
7315 1
7336 1
7370 1
7371 1
7379 1
7381 1
7433 1
7442 1
7443 1
7501 1
7558 1
7560 1
7609 1
7615 1
7650 1
7670 1
7671 1
7698 1
7727 1
7728 1
7739 1
7754 1
7759 1
7783 1
7815 1
7833 1
7842 1
7854 1
7866 1
7875 1
7910 1
7911 1
7921 1
7937 1
7955 1
8011 1
8012 1
8014 1
8040 1
8044 1
8052 1
8068 1
8101 1
8122 1
8136 1
8154 1
8162 1
8177 1
8189 1
8190 1
8192 1
8199 1
8213 1
8221 1
8232 1
8247 1
8268 1
8272 1
8273 1
8274 1
8278 1
8286 1
8299 1
8301 1
8323 1
8328 1
8330 1
8333 1
8353 1
8358 1
8370 1
8374 1
8375 1
8376 1
8380 1
8388 1
8404 1
8406 1
8424 1
8427 1
8428 1
8437 1
8438 1
8451 1
8465 1
8491 1
8503 1
8504 1
8505 1
8506 1
8520 1
8531 1
8535 1
8557 1
8580 1
8581 1
8592 1
8594 1
8608 1
8629 1
8631 1
8643 1
8645 1
8697 1
8714 1
8724 1
8725 1
8728 1
8747 1
8749 1
8767 1
8768 1
8769 1
8779 1
8791 1
8799 1
8821 1
8844 1
8851 1
8873 1
8875 1
8891 1
8893 1
8895 1
8928 1
8929 1
8942 1
8955 1
8982 1
8984 1
8999 1
9033 1
9088 1
9140 1
9193 1
9245 1
9257 1
9295 1
9298 1
9303 1
9347 1
9350 1
9357 1
9362 1
9400 1
9403 1
9404 1
9413 1
9452 1
9457 1
9461 1
9465 1
9506 1
9558 1
9564 1
9569 1
9611 1
9612 1
9613 1
10108 1
10166 1
10410 1
10424 1
10698 1
