pt_graph met
3581 18
3581 28
3665 18
3665 28
3750 18
3750 28
3756 18
3756 28
3841 18
3841 28
3842 18
3842 28
3928 18
3928 28
3931 18
3931 28
3932 18
3932 28
4019 18
4019 28
4300 18
4300 28
4371 18
4371 28
4389 18
4389 28
4575 18
4575 28
4663 18
4663 28
4929 18
4929 28
5109 18
5109 28
5283 18
5283 28
5284 18
5284 28
5369 18
5369 28
5543 18
5543 28
5716 18
5716 28
5717 18
5717 28
5718 18
5718 28
5721 18
5721 28
5722 18
5722 28
5723 18
5723 28
5727 18
5727 28
5808 18
5808 28
5812 18
5812 28
5816 18
5816 28
5818 18
5818 28
5891 18
5891 28
5894 18
5894 28
5899 18
5899 28
5906 18
5906 28
5911 18
5911 28
5913 18
5913 28
5914 18
5914 28
5915 18
5915 28
5993 18
5993 28
5997 18
5997 28
5998 18
5998 28
6015 18
6015 28
6097 18
6097 28
6098 18
6098 28
6099 18
6099 28
6110 18
6110 28
6192 18
6192 28
6194 18
6194 28
6195 18
6195 28
6197 18
6197 28
6211 18
6211 28
6300 18
6300 28
6391 18
6391 28
6466 18
6466 28
6494 18
6494 28
6559 18
6559 28
6561 18
6561 28
6567 18
6567 28
6637 18
6637 28
6639 18
6639 28
6640 18
6640 28
6647 18
6647 28
6652 18
6652 28
6660 18
6660 28
6716 18
6716 28
6729 18
6729 28
6730 18
6730 28
6736 18
6736 28
6789 18
6789 28
6801 18
6801 28
6802 18
6802 28
6803 18
6803 28
6807 18
6807 28
6862 18
6862 28
6868 18
6868 28
6872 18
6872 28
6874 18
6874 28
6875 18
6875 28
6877 18
6877 28
6880 18
6880 28
6882 18
6882 28
6930 18
6930 28
6931 18
6931 28
6932 18
6932 28
6933 18
6933 28
6942 18
6942 28
6943 18
6943 28
7001 18
7001 28
7010 18
7010 28
7011 18
7011 28
7082 18
7082 28
7144 18
7144 28
7203 18
7203 28
7282 18
7282 28
7292 18
7292 28
7295 18
7295 28
7349 18
7349 28
7358 18
7358 28
7367 18
7367 28
7490 18
7490 28
7605 18
7605 28
7641 18
7641 28
7657 18
7657 28
7698 18
7698 28
7701 18
7701 28
7739 18
7739 28
7753 18
7753 28
7798 18
7798 28
7799 18
7799 28
7816 18
7816 28
7854 18
7854 28
7871 18
7871 28
7879 18
7879 28
7910 18
7910 28
7911 18
7911 28
7936 18
7936 28
7937 18
7937 28
7939 18
7939 28
7967 18
7967 28
7985 18
7985 28
7992 18
7992 28
8037 18
8037 28
8045 18
8045 28
8090 18
8090 28
8143 18
8143 28
8146 18
8146 28
8156 18
8156 28
8157 18
8157 28
8158 18
8158 28
8160 18
8160 28
8189 18
8189 28
8213 18
8213 28
8243 18
8243 28
8265 18
8265 28
8271 18
8271 28
8272 18
8272 28
8301 18
8301 28
8308 18
8308 28
8309 18
8309 28
8322 18
8322 28
8353 18
8353 28
8370 18
8370 28
8404 18
8404 28
8459 18
8459 28
8503 18
8503 28
8504 18
8504 28
8505 18
8505 28
8506 18
8506 28
8557 18
8557 28
8558 18
8558 28
8559 18
8559 28
8608 18
8608 28
8655 18
8655 28
8660 18
8660 28
8714 18
8714 28
8767 18
8767 28
8768 18
8768 28
8773 18
8773 28
8777 18
8777 28
8824 18
8824 28
8873 18
8873 28
8875 18
8875 28
8880 18
8880 28
8928 18
8928 28
8929 18
8929 28
8930 18
8930 28
10034 18
10034 28
10040 18
10040 28
10166 18
10166 28
10424 18
10424 28
10452 18
10452 28
10476 18
10476 28
