pt_graph freq
2 0.75
3 0.75
4 0.75
11 0.75
12 0.75
15 0.75
36 0.75
55 0.75
56 0.75
63 0.75
67 0.25
71 0.25
95 0.25
118 0.25
130 0.75
142 0.25
152 0.75
163 0.25
175 0.25
180 0.25
192 0.75
199 0.25
200 0.25
209 0.25
223 0.25
235 0.75
242 0.25
243 0.25
284 0.25
286 0.25
289 0.25
307 0.25
346 0.25
351 0.75
352 0.25
360 0.75
365 0.25
412 0.25
417 0.25
436 0.25
459 0.25
484 0.25
492 0.25
498 0.25
508 0.25
512 0.25
550 0.25
567 0.25
570 0.25
571 0.25
573 0.25
603 0.25
621 0.25
622 0.25
660 0.25
678 0.25
732 0.75
733 0.25
735 0.25
756 0.25
773 0.25
799 0.75
815 0.25
826 0.25
827 0.25
837 0.75
854 0.25
858 0.25
859 0.25
899 0.25
901 0.25
903 0.25
904 0.25
924 0.25
957 0.25
959 0.25
989 0.75
1010 0.25
1011 0.25
1012 0.25
1013 0.25
1032 0.25
1033 0.25
1048 0.75
1049 0.75
1065 0.25
1067 0.25
1096 0.75
1106 0.75
1107 0.75
1158 0.75
1169 0.75
1170 0.75
1172 0.75
1178 0.25
1215 0.75
1221 0.75
1231 0.75
1234 0.75
1235 0.75
1236 0.75
1285 0.75
1286 0.75
1300 0.75
1301 0.75
1367 0.75
1368 0.75
1369 0.75
1421 0.75
1434 0.75
1435 0.75
1496 0.75
1497 0.75
1498 0.75
10236 0.75
10494 0.25
10769 0.25
