pt_graph freq
3819 1
4452 1
4713 1
4727 1
4800 1
4821 1
4981 1
5165 1
5248 1
5335 1
5355 1
5427 1
5430 1
5515 1
5516 1
5517 1
5518 1
5532 1
5533 1
5605 1
5606 1
5609 1
5614 1
5615 1
5618 1
5621 1
5693 1
5694 1
5701 1
5707 1
5775 1
5777 1
5793 1
5794 1
5795 1
5796 1
5797 1
5869 1
5877 1
5879 1
5887 1
5969 1
5975 1
5976 1
5984 1
6077 1
6079 1
6080 1
6086 1
6175 1
6177 1
6178 1
6179 1
6268 1
6269 1
6270 1
6271 1
6274 1
6360 1
6362 1
6364 1
6448 1
6451 1
6452 1
6453 1
6776 1
6846 1
6917 1
6985 1
7122 1
7125 1
7196 1
7200 1
7269 1
9794 1
