pt_graph met
4089 18
4101 18
4440 18
4452 18
4533 18
4635 18
4639 18
4711 18
4729 18
4890 18
4980 18
4981 18
5089 18
5180 18
5345 18
5355 18
5425 18
5426 18
5427 18
5429 18
5430 18
5517 18
5518 18
5535 18
5593 18
5605 18
5606 18
5614 18
5615 18
5618 18
5619 18
5689 18
5694 18
5701 18
5706 18
5794 18
5796 18
5798 18
5871 18
5879 18
5887 18
5967 18
5969 18
5972 18
5976 18
5984 18
6073 18
6074 18
6079 18
6080 18
6173 18
6174 18
6175 18
6177 18
6178 18
6179 18
6180 18
6266 18
6270 18
6271 18
6274 18
6279 18
6352 18
6360 18
6364 18
6451 18
6452 18
6453 18
6538 18
6846 18
6909 18
6917 18
6985 18
6989 18
7056 18
7057 18
7122 18
7191 18
7200 18
9719 18
9869 18
10023 18
